month,pnl_pct,trade_count
2022-01,-4.6284,9
2022-02,0.2504,23
2022-03,-7.1480,17
2022-04,5.6899,17
2022-05,-5.8713,14
2022-06,19.1521,17
2022-07,20.7417,16
2022-08,-44.7514,27
2022-09,32.4014,29
2022-10,-2.7705,31
2022-11,16.1085,22
2022-12,-15.6638,25
2023-01,-11.8389,19
2023-02,-14.5241,19
2023-03,0.4062,32
2023-04,-2.1731,26
2023-05,1.3184,30
2023-06,13.2097,25
2023-07,-16.0133,17
2023-08,5.0122,28
2023-09,19.1485,17
2023-10,-12.9584,22
2023-11,-15.3261,23
2023-12,-15.8683,23
2024-01,50.7494,24
2024-02,35.2014,26
2024-03,11.4211,7
2024-04,-27.5577,22
2024-05,1.7093,30
2024-06,-12.3220,28
2024-07,-11.2406,24
2024-08,36.7638,23
2024-09,-7.3873,25
2024-10,-0.6468,23
2024-11,9.9625,13
2024-12,-6.8403,14
2025-01,11.9308,28
2025-02,-1.0440,16
2025-03,12.3229,11
