path_id,sharpe,max_dd,n_candles
0,1.741099,239.1282,2828
1,0.026287,244.8186,2828
2,-0.440382,247.1696,2828
3,0.61846,239.1282,2828
4,1.085571,239.1282,2828
5,0.859305,239.1282,2828
6,0.714289,239.1282,2827
7,0.280109,239.1282,2827
8,0.56373,239.1282,2827
9,0.868119,244.8186,2828
10,0.534351,288.2598,2828
11,1.491244,230.6763,2828
12,1.88042,146.1867,2828
13,1.756036,177.2343,2828
14,1.551956,134.2788,2827
15,1.200413,188.043,2827
16,1.35255,211.1366,2827
17,-1.317588,371.3995,2828
18,-0.367264,313.816,2828
19,0.099774,244.8186,2828
20,-0.24066,260.3741,2828
21,-0.243032,244.8186,2827
22,-0.686124,271.1827,2827
23,-0.290764,244.8186,2827
24,-0.936686,278.998,2828
25,-0.384184,194.5084,2828
26,-0.863203,225.556,2828
27,-0.769733,194.3736,2827
28,-1.30553,236.3647,2827
29,-0.758598,211.1366,2827
30,0.743388,146.7915,2828
31,0.442137,146.7915,2828
32,0.335091,146.7915,2827
33,-0.166686,146.7915,2827
34,0.212574,211.1366,2827
35,1.023874,101.0757,2828
36,0.837759,102.2819,2827
37,0.384403,139.7774,2827
38,0.661822,211.1366,2827
39,0.563849,102.2819,2827
40,0.0119,139.7774,2827
41,0.391202,211.1366,2827
42,-0.025366,192.9237,2826
43,0.317227,211.1366,2826
44,-0.103278,211.1366,2826
