,max_dd_window_50,ema_spread_atr_20,ret_kurt_50,ret_skew_200,range_realized_vol_50,hurst_diff_100_50,ret_kurt_200,hurst_100,btc_ret_14d,ret_skew_50,vwap_dev_20,ret_autocorr_lag1_50,sym_vs_btc_ret_7d
max_dd_window_50,1.0,0.4834630219042426,-5.970868921024021e-06,0.010236132111890154,-0.6846584930479183,-0.05544968069587391,-0.019023842617992195,-0.17614631869507832,0.34633301449076,0.14886083314264625,0.14510494070809205,-0.1520801486692631,0.15297989073931048
ema_spread_atr_20,0.4834630219042426,1.0,-0.024362667075387857,0.12313037875650656,-0.08778287109946416,-0.010968830448876697,0.022237933830744114,0.02740193367480926,0.5503517827265041,0.3998426396880912,0.5354870669576146,0.01566936010879379,0.4856201006558889
ret_kurt_50,-5.970868921024021e-06,-0.024362667075387857,1.0,0.12847339318795045,0.09077693079971028,0.007392647917104741,0.31761153032009076,-0.092607801587131,-0.07545568174865445,0.04830776275462638,-0.04491675463833665,0.049098039242130964,0.04371046933992616
ret_skew_200,0.010236132111890154,0.12313037875650656,0.12847339318795045,1.0,0.10263996776777018,0.011683536509226817,0.612885293164284,0.08503207398823434,0.056657100878280756,0.3848113309328508,0.003796020730136893,0.04880834296098582,0.10620173568135526
range_realized_vol_50,-0.6846584930479183,-0.08778287109946416,0.09077693079971028,0.10263996776777018,1.0,0.009973852555617118,-0.01633275133593392,0.13595089824842632,-0.18034289531059422,0.05851383428437522,-0.06944304701216178,0.1386486924361964,0.04506624700820917
hurst_diff_100_50,-0.05544968069587391,-0.010968830448876697,0.007392647917104741,0.011683536509226817,0.009973852555617118,1.0,-0.009074227047394511,0.5025065339357612,-0.04462638239912475,0.030456081789152923,-0.023985765658095407,-0.004857370836828373,0.03284578520859059
ret_kurt_200,-0.019023842617992195,0.022237933830744114,0.31761153032009076,0.612885293164284,-0.01633275133593392,-0.009074227047394511,1.0,-0.009736235934359539,-0.005318042497967847,0.13247074242955162,-0.008199138671554695,0.022331466280282427,0.04237306934916163
hurst_100,-0.17614631869507832,0.02740193367480926,-0.092607801587131,0.08503207398823434,0.13595089824842632,0.5025065339357612,-0.009736235934359539,1.0,-0.046611921982453036,0.10159651144421362,0.01587551503337261,0.037981146656844045,0.04164175125827204
btc_ret_14d,0.34633301449076,0.5503517827265041,-0.07545568174865445,0.056657100878280756,-0.18034289531059422,-0.04462638239912475,-0.005318042497967847,-0.046611921982453036,1.0,0.2465010572118694,0.29895230403806183,-0.11683201687226717,-0.0330650832757357
ret_skew_50,0.14886083314264625,0.3998426396880912,0.04830776275462638,0.3848113309328508,0.05851383428437522,0.030456081789152923,0.13247074242955162,0.10159651144421362,0.2465010572118694,1.0,0.12732202121312794,0.0012123797288295546,0.2006384060828299
vwap_dev_20,0.14510494070809205,0.5354870669576146,-0.04491675463833665,0.003796020730136893,-0.06944304701216178,-0.023985765658095407,-0.008199138671554695,0.01587551503337261,0.29895230403806183,0.12732202121312794,1.0,0.01617058602701522,0.4419476525392226
ret_autocorr_lag1_50,-0.1520801486692631,0.01566936010879379,0.049098039242130964,0.04880834296098582,0.1386486924361964,-0.004857370836828373,0.022331466280282427,0.037981146656844045,-0.11683201687226717,0.0012123797288295546,0.01617058602701522,1.0,0.072238770583497
sym_vs_btc_ret_7d,0.15297989073931048,0.4856201006558889,0.04371046933992616,0.10620173568135526,0.04506624700820917,0.03284578520859059,0.04237306934916163,0.04164175125827204,-0.0330650832757357,0.2006384060828299,0.4419476525392226,0.072238770583497,1.0
