symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
TRXUSDT,2022-05,10,1810,45,10,0.0,8,0.030553,
TRXUSDT,2022-06,10,1810,45,10,0.0006,7,0.026867,
TRXUSDT,2022-07,10,1810,45,10,0.0026,8,0.060668,
TRXUSDT,2022-08,10,1810,45,10,0.0,7,0.024457,
TRXUSDT,2022-09,10,1810,45,10,0.001,8,-0.039273,
TRXUSDT,2022-10,10,1810,45,10,0.0334,7,-0.015904,
TRXUSDT,2022-11,10,1810,45,10,0.0,7,-0.011522,
TRXUSDT,2022-12,10,1810,45,10,0.0,7,-0.041413,
TRXUSDT,2023-01,10,1810,45,10,0.0,8,-0.056759,
TRXUSDT,2023-02,10,1810,45,10,0.0814,8,-0.03429,
TRXUSDT,2023-03,10,1810,45,10,0.0994,8,0.000722,
TRXUSDT,2023-04,10,1810,45,10,0.0334,8,-0.017651,
TRXUSDT,2023-05,10,1810,45,10,0.0002,8,-0.033198,
TRXUSDT,2023-06,10,1810,45,10,0.1304,8,-0.054228,
TRXUSDT,2023-07,10,1810,45,10,0.0,8,-0.055942,
TRXUSDT,2023-08,10,1810,45,10,0.0,8,-0.105222,
TRXUSDT,2023-09,10,1810,45,10,0.0252,8,-0.07965,
TRXUSDT,2023-10,10,1810,45,10,0.0,7,-0.111205,
TRXUSDT,2023-11,10,1810,45,10,0.0106,7,-0.13138,
TRXUSDT,2023-12,10,1810,45,10,0.0,8,-0.14817,
TRXUSDT,2024-01,10,1810,45,10,0.3888,7,-0.068836,
TRXUSDT,2024-02,10,1810,45,10,0.2684,7,-0.100262,
TRXUSDT,2024-03,10,1820,45,10,0.0,8,-0.114369,
TRXUSDT,2024-04,10,1820,45,10,0.0,7,-0.112716,
TRXUSDT,2024-05,10,1825,45,10,0.0,7,-0.109616,
TRXUSDT,2024-06,10,1825,45,10,0.0,8,-0.088282,
TRXUSDT,2024-07,10,1825,45,10,0.0,8,-0.093805,
TRXUSDT,2024-08,10,1825,45,10,0.0,8,-0.052052,
TRXUSDT,2024-09,10,1825,45,10,0.0,7,-0.038392,
TRXUSDT,2024-10,10,1825,45,10,0.0,8,-0.037209,
TRXUSDT,2024-11,10,1825,45,10,0.0,8,-0.056257,
TRXUSDT,2024-12,10,1825,45,10,0.0428,8,-0.027333,
TRXUSDT,2025-01,10,1825,45,10,0.0,7,-0.069223,
TRXUSDT,2025-02,10,1825,45,10,0.0,7,-0.036754,
TRXUSDT,2025-03,10,1825,45,10,0.0,7,-0.003831,
TRXUSDT,2025-04,10,1801,45,10,0.0,7,0.01815,
TRXUSDT,2025-05,10,1711,45,10,0.0006,7,0.016019,
TRXUSDT,2025-06,10,1618,45,10,0.0,7,-0.01477,
TRXUSDT,2025-07,10,1528,45,10,0.0954,7,0.04282,
TRXUSDT,2025-08,10,1435,45,10,0.0,7,0.019787,
TRXUSDT,2025-09,10,1342,45,10,0.0044,7,-0.021473,
TRXUSDT,2025-10,10,1252,45,10,1.0,7,-0.029919,
TRXUSDT,2025-11,10,1159,45,10,1.0,7,0.010885,
TRXUSDT,2025-12,10,1069,45,10,0.0096,6,0.030912,
TRXUSDT,2026-01,10,976,45,10,0.0,6,0.019303,
TRXUSDT,2026-02,10,883,45,10,0.81,7,-0.039804,
TRXUSDT,2026-03,10,799,45,10,0.0,6,0.015876,
TRXUSDT,2026-04,10,706,45,10,0.0086,4,0.032183,
TRXUSDT,2026-05,10,616,45,10,0.0,4,-0.01983,
