feature_name,mean_gain,importance_rank
trend_aroon_osc_50,3061.4351,1
vol_atr_14,3057.0925,2
stat_autocorr_lag5,2286.4511,3
btc_funding_spread_30_90,1758.3555,4
stat_skew_20,1681.7048,5
interact_natr_x_adx,1656.4387,6
vol_bb_bandwidth_20,1642.3469,7
oi_delta_30_z90,1515.1761,8
trend_adx_14,1495.2286,9
vol_natr_14,1039.9147,10
stat_kurtosis_20,998.3917,11
mom_macd_line_12_26_9,928.4367,12
mom_macd_hist_12_26_9,847.0035,13
long_short_zscore_30,778.0489,14
vol_cmf_14,773.3456,15
trend_plus_di_14,766.3663,16
funding_rate_zscore_90,635.6557,17
mr_pct_from_low_20,579.4594,18
trend_minus_di_14,573.2214,19
mr_pct_from_high_20,508.0227,20
trend_aroon_osc_14,497.0999,21
interact_rsi_x_adx,465.1418,22
vol_mfi_14,460.2089,23
regime_momentum_signed_5d,288.4782,24
trend_ema_cross_5_12,277.4255,25
funding_rate_zscore_30,261.6937,26
mom_stoch_d_14,235.6863,27
interact_stoch_x_adx,171.1718,28
cal_dow_norm,163.6293,29
mom_willr_14,145.2798,30
trend_supertrend_14_3,133.4136,31
interact_rsi_x_natr,126.8459,32
mom_stoch_k_14,125.1572,33
stat_return_5,125.1285,34
mom_rsi_14,117.3314,35
mom_roc_10,114.1967,36
vol_range_spike_72,104.8633,37
btc_funding_rate_8h_impulse,54.0269,38
vol_volume_pctchg_5,48.1388,39
vol_range_spike_24,43.4219,40
vol_volume_rel_20,41.5537,41
interact_ret1_x_ret3,41.0072,42
vol_taker_buy_ratio,36.2186,43
interact_ret1_x_natr,21.1431,44
stat_log_return_1,17.3428,45
cal_hour_norm,7.0071,46
mr_rsi_extreme_14,1.1101,47
dot_vs_btc_ret_ratio_30,0.0,48
