symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,-1,88283.600000,83261.264136,1.0000,1742831999999,1743263999999,take_profit,5.6889,0.1000,5.5889,5.5889,90794.767932,83261.264136,1743436799999,0.860972
BTCUSDT,-1,82486.700000,84332.200000,1.0000,1744387199999,1744992000000,timeout,-2.2373,0.1000,-2.3373,-2.3373,87318.022860,72824.054281,1744991999999,0.733846
BTCUSDT,-1,87400.600000,89677.056188,1.0000,1745222399999,1745337599999,stop_loss,-2.6046,0.1000,-2.7046,-2.7046,89677.056188,82847.687624,1745827199999,0.732185
BTCUSDT,-1,93697.100000,96184.819021,1.0000,1745798399999,1746115199999,stop_loss,-2.6551,0.1000,-2.7551,-2.7551,96184.819021,88721.661958,1746403199999,0.714189
BTCUSDT,-1,97270.100000,99869.732912,1.0000,1746201599999,1746719999999,stop_loss,-2.6726,0.1000,-2.7726,-2.7726,99869.732912,92070.834177,1746806399999,0.821165
BTCUSDT,-1,102941.900000,103412.200000,0.3300,1746835199999,1747440000000,timeout,-0.4569,0.1000,-0.5569,-0.1838,105923.400900,96978.898199,1747439999999,0.757439
BTCUSDT,-1,103079.600000,105486.582917,1.0000,1747526399999,1747583999999,stop_loss,-2.3351,0.1000,-2.4351,-2.4351,105486.582917,98265.634166,1748131199999,0.935580
BTCUSDT,-1,105531.600000,108899.686005,0.3515,1747699199999,1747843199999,stop_loss,-3.1915,0.1000,-3.2915,-1.1569,108899.686005,98795.427990,1748303999999,0.894474
BTCUSDT,-1,110685.200000,104997.500000,0.3443,1747987199999,1748592000000,timeout,5.1386,0.1000,5.0386,1.7350,114313.010467,103429.579067,1748591999999,0.877104
BTCUSDT,1,108661.000000,113128.085832,1.0000,1751615999999,1752191999999,take_profit,4.1110,0.1000,4.0110,4.0110,106427.457084,113128.085832,1752220799999,0.734128
BTCUSDT,-1,117075.600000,120014.782236,1.0000,1752335999999,1752479999999,stop_loss,-2.5105,0.1000,-2.6105,-2.6105,120014.782236,111197.235529,1752940799999,0.839434
BTCUSDT,-1,116777.100000,120341.260861,1.0000,1752566399999,1752796799999,stop_loss,-3.0521,0.1000,-3.1521,-3.1521,120341.260861,109648.778277,1753171199999,0.782108
BTCUSDT,1,118294.300000,115180.525292,1.0000,1753401599999,1753430399999,stop_loss,-2.6322,0.1000,-2.7322,-2.7322,115180.525292,124521.849417,1754006399999,0.759660
BTCUSDT,1,118041.400000,115655.641249,1.0000,1753747199999,1754006399999,stop_loss,-2.0211,0.1000,-2.1211,-2.1211,115655.641249,122812.917503,1754351999999,0.753672
BTCUSDT,1,112508.800000,116422.100000,0.3300,1754179199999,1754784000000,timeout,3.4782,0.1000,3.3782,1.1148,109657.223450,118211.953101,1754783999999,0.737282
BTCUSDT,1,109187.900000,112012.700000,1.0000,1756771199999,1757376000000,timeout,2.5871,0.1000,2.4871,2.4871,106292.778911,114978.142179,1757375999999,0.677817
BTCUSDT,-1,111499.900000,114026.469678,1.0000,1757462399999,1757519999999,stop_loss,-2.2660,0.1000,-2.3660,-2.3660,114026.469678,106446.760645,1758067199999,0.737404
BTCUSDT,-1,114122.300000,116598.411056,1.0000,1757606399999,1757721599999,stop_loss,-2.1697,0.1000,-2.2697,-2.2697,116598.411056,109170.077887,1758211199999,0.636319
BTCUSDT,1,115746.000000,115772.800000,0.3300,1757836799999,1758441600000,timeout,0.0232,0.1000,-0.0768,-0.0254,113703.310936,119831.378127,1758441599999,0.762683
BTCUSDT,1,112604.700000,110483.648217,0.3300,1758585599999,1758844799999,stop_loss,-1.8836,0.1000,-1.9836,-0.6546,110483.648217,116846.803565,1759190399999,0.658691
BTCUSDT,-1,109340.700000,111547.539756,0.3300,1758988799999,1759103999999,stop_loss,-2.0183,0.1000,-2.1183,-0.6990,111547.539756,104927.020488,1759593599999,0.611876
BTCUSDT,-1,114257.100000,116457.638875,0.3300,1759190399999,1759334399999,stop_loss,-1.9260,0.1000,-2.0260,-0.6686,116457.638875,109856.022249,1759795199999,0.627952
BTCUSDT,-1,109985.600000,102803.673599,1.0000,1761782399999,1762300799999,take_profit,6.5299,0.1000,6.4299,6.4299,113576.563201,102803.673599,1762387199999,0.809311
BTCUSDT,1,91508.900000,87180.579677,1.0000,1763596799999,1763683199999,stop_loss,-4.7299,0.1000,-4.8299,-4.8299,87180.579677,100165.540645,1764201599999,0.797662
BTCUSDT,1,90438.100000,86532.192127,1.0000,1764201599999,1764575999999,stop_loss,-4.3189,0.1000,-4.4189,-4.4189,86532.192127,98249.915745,1764806399999,0.815684
BTCUSDT,-1,92227.500000,92389.500000,1.0000,1764921599999,1765526400000,timeout,-0.1757,0.1000,-0.2757,-0.2757,95849.726043,84983.047914,1765526399999,0.713646
