symbol,z30_band,count,share_pct
BTCUSDT,extreme_negative_z<-2,230,4.081632653061225
BTCUSDT,negative_-2_to_-1,628,11.144631765749779
BTCUSDT,neutral_-1_to_1,3951,70.1153504880213
BTCUSDT,positive_1_to_2,615,10.913930789707187
BTCUSDT,extreme_positive_z>2,211,3.7444543034605147
ETHUSDT,extreme_negative_z<-2,239,4.329710144927536
ETHUSDT,negative_-2_to_-1,597,10.815217391304348
ETHUSDT,neutral_-1_to_1,3924,71.08695652173913
ETHUSDT,positive_1_to_2,553,10.018115942028984
ETHUSDT,extreme_positive_z>2,207,3.75
LINKUSDT,extreme_negative_z<-2,278,4.998202085580726
LINKUSDT,negative_-2_to_-1,458,8.234448040273284
LINKUSDT,neutral_-1_to_1,4254,76.48327939590077
LINKUSDT,positive_1_to_2,390,7.011866235167206
LINKUSDT,extreme_positive_z>2,182,3.272204243078029
LTCUSDT,extreme_negative_z<-2,260,4.596075658476225
LTCUSDT,negative_-2_to_-1,517,9.139119674739261
LTCUSDT,neutral_-1_to_1,4122,72.86547640091922
LTCUSDT,positive_1_to_2,513,9.06841081845501
LTCUSDT,extreme_positive_z>2,245,4.330917447410288
DOTUSDT,extreme_negative_z<-2,261,5.2462311557788945
DOTUSDT,negative_-2_to_-1,443,8.904522613065327
DOTUSDT,neutral_-1_to_1,3593,72.2211055276382
DOTUSDT,positive_1_to_2,476,9.5678391959799
DOTUSDT,extreme_positive_z>2,202,4.060301507537688
