symbol,z30_band,n_trades,win_rate,mean_pnl_pct,sum_pnl_pct
BTCUSDT,extreme_negative_z<-2,7,0.5714285714285714,2.0379,14.2653
BTCUSDT,negative_-2_to_-1,17,0.47058823529411764,1.1920294117647057,20.264499999999998
BTCUSDT,neutral_-1_to_1,75,0.29333333333333333,-0.8470066666666668,-63.52550000000001
BTCUSDT,positive_1_to_2,14,0.2857142857142857,-0.5914285714285715,-8.280000000000001
ETHUSDT,extreme_negative_z<-2,11,0.2727272727272727,-0.03170909090909089,-0.3487999999999998
ETHUSDT,negative_-2_to_-1,11,0.45454545454545453,0.9306818181818183,10.2375
ETHUSDT,neutral_-1_to_1,95,0.37894736842105264,-0.3098284210526316,-29.433699999999998
ETHUSDT,positive_1_to_2,18,0.4444444444444444,0.5985611111111109,10.774099999999995
ETHUSDT,extreme_positive_z>2,4,0.5,0.048875000000000224,0.1955000000000009
LINKUSDT,extreme_negative_z<-2,10,0.4,-0.2773899999999999,-2.7738999999999994
LINKUSDT,negative_-2_to_-1,13,0.5384615384615384,1.988461538461539,25.850000000000005
LINKUSDT,neutral_-1_to_1,113,0.45132743362831856,0.42767433628318574,48.32719999999999
LINKUSDT,positive_1_to_2,8,0.375,-0.9998000000000002,-7.998400000000002
LINKUSDT,extreme_positive_z>2,2,0.5,4.3279499999999995,8.655899999999999
LTCUSDT,extreme_negative_z<-2,4,0.5,0.7638250000000002,3.055300000000001
LTCUSDT,negative_-2_to_-1,18,0.3333333333333333,-0.6710999999999998,-12.079799999999997
LTCUSDT,neutral_-1_to_1,87,0.3793103448275862,-0.3644379310344826,-31.706099999999985
LTCUSDT,positive_1_to_2,10,0.6,3.9605099999999993,39.60509999999999
LTCUSDT,extreme_positive_z>2,5,0.4,0.8797200000000001,4.3986
DOTUSDT,extreme_negative_z<-2,4,0.25,-2.039275,-8.1571
DOTUSDT,negative_-2_to_-1,9,0.6666666666666666,3.8084222222222217,34.2758
DOTUSDT,neutral_-1_to_1,68,0.4411764705882353,0.42777794117647083,29.088900000000017
DOTUSDT,positive_1_to_2,12,0.16666666666666666,-2.3819500000000002,-28.5834
