symbol,kline_n,funding_n,kline_min_dt,kline_max_dt,funding_min_dt,funding_max_dt,first_funding_at_or_after_kline_start,funding_lag_days
BTCUSDT,7012,7326,2020-01-01 00:00:00,2026-05-26 00:00:00,2019-09-10 08:00:00,2026-05-18 00:00:00.007,2020-01-01 00:00:00,0.0
ETHUSDT,7013,7094,2020-01-01 00:00:00,2026-05-26 08:00:00,2019-11-27 08:00:00,2026-05-18 16:00:00.007,2020-01-01 00:00:00,0.0
LINKUSDT,6964,6941,2020-01-17 08:00:00,2026-05-26 08:00:00,2020-01-17 08:00:00,2026-05-18 16:00:00.007,2020-01-17 08:00:00,0.0
LTCUSDT,6973,6965,2020-01-09 08:00:00,2026-05-26 08:00:00,2020-01-09 08:00:00,2026-05-18 16:00:00.007,2020-01-09 08:00:00,0.0
DOTUSDT,6311,6293,2020-08-22 00:00:00,2026-05-26 08:00:00,2020-08-20 08:00:00,2026-05-18 16:00:00.007,2020-08-22 00:00:00,0.0
