sample,symbol,trades,share_tp,share_sl,share_timeout,share_eod,dur_p50_candles,dur_p90_candles,net_pnl_mean_pct,net_pnl_p25_pct,net_pnl_p75_pct,abs_pnl_mean_pct
IS,BTCUSDT,113,0.23893805309734514,0.6283185840707964,0.13274336283185842,0.0,8.0,21.000000034722223,-0.3298734513274337,-3.2653,3.0644,3.893570796460177
IS,DOTUSDT,93,0.21505376344086022,0.5053763440860215,0.27956989247311825,0.0,13.0,21.000000034722223,0.28628172043010747,-5.1963,6.6799,6.108382795698925
IS,ETHUSDT,145,0.25517241379310346,0.5448275862068965,0.2,0.0,9.0,21.000000034722223,-0.0944813793103448,-4.2475,4.6947,5.071150344827586
IS,LINKUSDT,146,0.1780821917808219,0.5068493150684932,0.3150684931506849,0.0,11.5,21.000000034722223,0.4935671232876712,-6.449325,7.5814,7.238694520547946
IS,LTCUSDT,124,0.20161290322580644,0.5080645161290323,0.2903225806451613,0.0,11.0,21.000000034722223,0.026395967741935474,-5.3260749999999994,6.8995750000000005,5.960365322580645
OOS,BTCUSDT,35,0.3142857142857143,0.45714285714285713,0.2,0.02857142857142857,11.0,21.000000034722223,0.9477114285714288,-2.5217,5.02095,3.719134285714286
OOS,DOTUSDT,46,0.17391304347826086,0.5652173913043478,0.2391304347826087,0.021739130434782608,12.0,21.000000034722223,0.04258478260869568,-5.918375,6.91825,7.184384782608697
OOS,ETHUSDT,46,0.2391304347826087,0.5434782608695652,0.21739130434782608,0.0,10.5,21.000000034722223,0.05989347826086951,-4.17675,2.863075,4.588910869565218
OOS,LINKUSDT,28,0.21428571428571427,0.4642857142857143,0.32142857142857145,0.0,12.5,21.000000034722223,1.2226607142857142,-5.06565,7.3926,6.328567857142858
OOS,LTCUSDT,34,0.11764705882352941,0.6176470588235294,0.2647058823529412,0.0,8.5,21.000000034722223,-1.3896588235294118,-4.854825,0.56855,4.691776470588235
