mf_gross_monthly_sharpe,mf_net_monthly_sharpe,mf_turnover_per_bar,mf_fee_over_abs_gross,horizon_bars,horizon_days
0.2018,-0.2143,0.2525,2.063,3,1.0
0.1673,0.0596,0.0928,0.646,7,2.33
0.2562,0.2077,0.0418,0.192,14,4.67
0.3388,0.2964,0.0263,0.129,21,7.0
0.3029,0.2593,0.0183,0.144,28,9.33
0.1822,0.1477,0.0138,0.189,35,11.67
