n_optuna_trials,config,trained_lgbmranker_gross_monthly_sharpe,trained_lgbmranker_net_monthly_sharpe,mean_is_train_rank_ic,turnover_per_bar,n_monthly_models
8,8-trial (H1-EDA),0.051,-0.0125,0.4002,0.0243,37
35,35-trial (runner),0.1534,0.0944,0.3977,0.0249,37
