horizon_bars,horizon_days,xs_required_gap,is_train_rank_ic,is_gross_monthly_sharpe,is_net_monthly_sharpe,is_turnover_per_bar,is_fee_over_abs_gross,is_gross_pnl,is_net_pnl,max_symbol_concentration_pct,is_bars
3,1.0,88,0.2033,0.0537,-0.2917,0.1205,7.144,0.05662,-0.34784,14.3,3357
7,2.33,176,0.2502,-0.1651,-0.3112,0.0563,0.924,-0.20462,-0.39378,15.3,3357
14,4.67,330,0.3659,0.0108,-0.0746,0.0349,7.954,0.01474,-0.10251,11.6,3357
21,7.0,484,0.4002,0.051,-0.0125,0.0243,1.246,0.0655,-0.01612,11.3,3356
28,9.33,638,0.4031,0.0292,-0.0093,0.0177,1.318,0.04516,-0.01435,12.4,3356
35,11.67,792,0.4153,0.0381,-0.0016,0.0147,1.042,0.04735,-0.00201,16.4,3356
