horizon_bars,horizon_days,mf_gross_monthly_sharpe,mf_net_monthly_sharpe,mf_turnover_per_bar,mf_fee_over_abs_gross
17,5.67,0.2693,0.2244,0.0336,0.171
18,6.0,0.2995,0.256,0.031,0.148
19,6.33,0.3037,0.2627,0.0296,0.138
20,6.67,0.3379,0.2941,0.0274,0.132
21,7.0,0.3388,0.2964,0.0263,0.129
22,7.33,0.363,0.3226,0.0246,0.116
23,7.67,0.3651,0.3216,0.0232,0.123
24,8.0,0.3359,0.2934,0.0221,0.129
25,8.33,0.3229,0.2799,0.021,0.135
