symbol,base_feature,ic_with_parkinson_gk_ratio_20,abs_ic
LDOUSDT,ret_skew_200,-0.24502428865889286,0.24502428865889286
BCHUSDT,sym_vs_btc_ret_7d,0.2435914883095337,0.2435914883095337
LDOUSDT,ret_kurt_50,0.1746270145964098,0.1746270145964098
TRXUSDT,ret_kurt_50,0.17227348819856045,0.17227348819856045
LDOUSDT,max_dd_window_50,-0.15941072891645297,0.15941072891645297
BCHUSDT,regime_momentum_signed_5d,0.15847241537966208,0.15847241537966208
BCHUSDT,vwap_dev_20,0.12654658424117618,0.12654658424117618
TRXUSDT,ret_skew_200,0.12268310788469007,0.12268310788469007
TRXUSDT,ret_skew_50,0.1097164512926563,0.1097164512926563
BCHUSDT,ema_spread_atr_20,0.10699450752121338,0.10699450752121338
TRXUSDT,range_realized_vol_50,-0.10628009882678614,0.10628009882678614
TRXUSDT,sym_vs_btc_ret_7d,0.09902883053833768,0.09902883053833768
BCHUSDT,ret_kurt_200,-0.09832185841123642,0.09832185841123642
BCHUSDT,range_realized_vol_50,-0.09646931071283645,0.09646931071283645
BCHUSDT,ret_skew_50,0.09263225583355586,0.09263225583355586
TRXUSDT,hurst_100,0.0868694683798703,0.0868694683798703
TRXUSDT,ret_kurt_200,0.08518670909041633,0.08518670909041633
LDOUSDT,ret_kurt_200,-0.07883408318051323,0.07883408318051323
LDOUSDT,hurst_100,-0.07210988415800214,0.07210988415800214
LDOUSDT,btc_ret_14d,-0.068119974565274,0.068119974565274
TRXUSDT,regime_momentum_signed_5d,0.06631829560138543,0.06631829560138543
TRXUSDT,btc_ret_14d,-0.058564049595700475,0.058564049595700475
LDOUSDT,ret_skew_50,0.051086557211985115,0.051086557211985115
LDOUSDT,vwap_dev_20,0.03949928127162096,0.03949928127162096
LDOUSDT,regime_momentum_signed_5d,0.037164379190351725,0.037164379190351725
LDOUSDT,ret_autocorr_lag1_50,0.03684740660018701,0.03684740660018701
LDOUSDT,sym_vs_btc_ret_7d,0.03461472203313837,0.03461472203313837
LDOUSDT,hurst_diff_100_50,-0.030592433395859934,0.030592433395859934
TRXUSDT,hurst_diff_100_50,0.021379534010374117,0.021379534010374117
BCHUSDT,ret_kurt_50,-0.019072093177603524,0.019072093177603524
BCHUSDT,max_dd_window_50,-0.016774302554738475,0.016774302554738475
BCHUSDT,ret_skew_200,-0.013980316359694645,0.013980316359694645
LDOUSDT,range_realized_vol_50,0.012966968441208829,0.012966968441208829
TRXUSDT,vwap_dev_20,-0.01283174978003039,0.01283174978003039
BCHUSDT,hurst_diff_100_50,0.009767764846773592,0.009767764846773592
BCHUSDT,ret_autocorr_lag1_50,0.009483536445670558,0.009483536445670558
BCHUSDT,btc_ret_14d,0.007093158014184661,0.007093158014184661
TRXUSDT,max_dd_window_50,0.005783453965318052,0.005783453965318052
LDOUSDT,ema_spread_atr_20,0.004238091372638167,0.004238091372638167
TRXUSDT,ret_autocorr_lag1_50,0.004188603390565947,0.004188603390565947
TRXUSDT,ema_spread_atr_20,-0.0008781568930746311,0.0008781568930746311
BCHUSDT,hurst_100,0.00035467059159188433,0.00035467059159188433
