feature,bch_rank,ldo_rank,trx_rank,bottom3_count,mean_portfolio_importance,load_bearing_protected,a4_drop_score
ret_skew_50,12,8,12,2,137.6,False,286.24
btc_ret_14d,13,6,14,2,142.33333333333334,False,285.76666666666665
sym_vs_btc_ret_7d,9,11,13,1,132.66666666666666,False,186.73333333333335
hurst_100,11,14,3,1,140.33333333333334,False,185.96666666666667
ret_autocorr_lag1_50,7,12,6,1,153.0,False,184.7
hurst_diff_100_50,8,5,10,0,163.53333333333333,False,83.64666666666668
ema_spread_atr_20,3,9,9,0,165.46666666666667,False,83.45333333333333
ret_kurt_200,6,3,8,0,169.06666666666666,False,83.09333333333333
max_dd_window_50,2,10,5,0,169.46666666666667,False,83.05333333333333
ret_kurt_50,4,2,2,0,188.13333333333333,False,81.18666666666667
ret_skew_200,5,1,4,0,190.46666666666667,False,80.95333333333333
vwap_dev_20,1,4,7,0,195.33333333333334,False,80.46666666666667
range_realized_vol_50,3,7,1,0,201.46666666666667,False,79.85333333333332
regime_momentum_signed_5d,10,13,11,1,130.13333333333333,True,0.0
