source,n_months,mean_best_oof_return,median_best_oof_return,std_best_oof_return,min_best_oof_return,max_best_oof_return,n_months_positive,n_months_negative
pool_baseline,52,0.190505,0.144082,0.187946,-0.067609,0.965664,48,4
btc_only_020,53,0.166864,0.114913,0.197021,-0.231012,0.868473,45,8
cross_correlation,52,0.5893,0.2621,nan,nan,nan,48,4
