feature_name,mean_gain,importance_rank
vol_atr_14,4592.9107,1
stat_autocorr_lag5,3775.6694,2
trend_aroon_osc_50,3559.9181,3
oi_delta_30_z90,2690.6275,4
trend_adx_14,2570.7554,5
stat_skew_20,2047.3516,6
dot_vs_btc_ret_ratio_30,2029.1331,7
mom_macd_line_12_26_9,2025.8214,8
vol_natr_14,1861.8514,9
interact_natr_x_adx,1835.8929,10
stat_kurtosis_20,1504.6419,11
long_short_zscore_30,1257.1192,12
mom_macd_hist_12_26_9,1046.6177,13
vol_cmf_14,945.83,14
vol_bb_bandwidth_20,935.1814,15
funding_rate_zscore_90,871.9977,16
mr_pct_from_low_20,722.6719,17
mr_pct_from_high_20,704.7666,18
trend_minus_di_14,679.0674,19
funding_rate_zscore_30,512.1062,20
vol_mfi_14,408.1443,21
trend_plus_di_14,401.1228,22
interact_rsi_x_adx,388.0124,23
interact_rsi_x_natr,327.2948,24
trend_aroon_osc_14,304.1788,25
mom_rsi_14,274.6898,26
trend_ema_cross_5_12,250.4463,27
interact_stoch_x_adx,233.6262,28
mom_stoch_d_14,199.227,29
mom_willr_14,187.0356,30
trend_supertrend_14_3,174.8344,31
regime_momentum_signed_5d,166.0065,32
cal_dow_norm,100.4453,33
vol_range_spike_72,98.3199,34
mom_roc_10,96.5878,35
mom_stoch_k_14,96.493,36
stat_return_5,89.2049,37
vol_volume_rel_20,79.7437,38
vol_range_spike_24,78.0306,39
stat_log_return_1,73.5362,40
vol_volume_pctchg_5,56.7414,41
interact_ret1_x_natr,38.5198,42
vol_taker_buy_ratio,37.1299,43
interact_ret1_x_ret3,27.9169,44
cal_hour_norm,1.6606,45
mr_rsi_extreme_14,0.0,46
