symbol,direction,open_time,net_pnl_pct,btc_ret_42,sample,counter_trend
LTCUSDT,1,1641657599999,-7.1662,-17.897113047995216,IS,True
LTCUSDT,1,1641916799999,13.5008,-14.728432127655044,IS,True
LTCUSDT,1,1642492799999,-6.7705,-9.633530001496082,IS,True
LTCUSDT,1,1642780799999,-9.6598,-5.970180696561855,IS,True
LTCUSDT,1,1643068799999,-0.1457,-12.327868224982097,IS,True
LTCUSDT,-1,1643932799999,-7.1152,-8.292400045349812,IS,False
LTCUSDT,1,1645084799999,-6.4302,18.669567920422757,IS,False
LTCUSDT,1,1645401599999,-7.2383,-9.426635364548108,IS,True
LTCUSDT,-1,1646351999999,8.081,4.835064963930891,IS,True
LTCUSDT,-1,1647043199999,-7.0158,-1.2559494355369405,IS,False
LTCUSDT,-1,1647503999999,-6.2193,-6.320511640747217,IS,False
LTCUSDT,-1,1647820799999,-5.3308,7.447442911791602,IS,True
LTCUSDT,-1,1648771199999,7.8761,11.266782564471223,IS,True
LTCUSDT,1,1649635199999,-5.2768,-9.996411851143083,IS,True
LTCUSDT,1,1649807999999,8.4799,-15.516728702932403,IS,True
LTCUSDT,1,1650499199999,-4.7511,-4.244700496064613,IS,True
LTCUSDT,1,1650671999999,-5.5314,-6.050315895162594,IS,True
LTCUSDT,1,1650959999999,-5.1038,1.041715954964384,IS,False
LTCUSDT,1,1652860799999,-2.5678,-22.701567756399143,IS,True
LTCUSDT,-1,1654070399999,7.4299,5.305131181486389,IS,True
LTCUSDT,-1,1654761599999,12.0882,2.5657161895210834,IS,True
LTCUSDT,1,1655423999999,24.3415,-33.017928777708775,IS,True
LTCUSDT,1,1656115199999,-9.4762,-26.984596443322552,IS,True
LTCUSDT,1,1659340799999,3.2845,4.8104156738628,IS,False
LTCUSDT,1,1660031999999,-4.9031,13.358697046124913,IS,False
LTCUSDT,1,1660147199999,-2.6085,11.466602219702171,IS,False
LTCUSDT,1,1660867199999,-6.045,2.548553888070604,IS,False
LTCUSDT,1,1660982399999,-4.2243,-8.19692626042723,IS,True
LTCUSDT,1,1661673599999,12.1419,-19.391485134977536,IS,True
LTCUSDT,1,1664611199999,-0.25,-2.664616315417967,IS,True
LTCUSDT,1,1665302399999,-3.5818,1.618716342224924,IS,False
LTCUSDT,1,1665561599999,-3.6574,1.772985413359196,IS,False
LTCUSDT,1,1665734399999,-2.0472,0.3701280111243044,IS,False
LTCUSDT,1,1666425599999,6.291,-1.7162823630822222,IS,True
LTCUSDT,1,1666915199999,7.7493,4.750716480338757,IS,False
LTCUSDT,-1,1669449599999,1.8138,-1.3943002623235445,IS,False
LTCUSDT,1,1670140799999,1.3007,1.6618592237076735,IS,False
LTCUSDT,1,1670860799999,-4.9707,5.349296944232718,IS,False
LTCUSDT,1,1671523199999,8.2256,-1.1622022408436128,IS,True
LTCUSDT,1,1672271999999,9.3579,-7.104623144367251,IS,True
LTCUSDT,-1,1673481599999,-5.9666,8.444887840860993,IS,True
LTCUSDT,-1,1673769599999,-2.1467,25.608368241361788,IS,True
LTCUSDT,-1,1674460799999,-5.6561,32.01161160462369,IS,True
LTCUSDT,-1,1674575999999,-5.5513,32.37476541071172,IS,True
LTCUSDT,-1,1675065599999,-5.3245,11.991380943360475,IS,True
LTCUSDT,1,1676102399999,-5.514,-5.66647668190895,IS,True
LTCUSDT,1,1676534399999,-5.4492,3.547315760709635,IS,False
LTCUSDT,1,1676966399999,-5.1255,9.163697960324125,IS,False
LTCUSDT,1,1678233599999,-4.9667,-9.230712584992284,IS,True
LTCUSDT,1,1678953599999,11.3945,5.271598971854297,IS,False
LTCUSDT,1,1680479999999,-2.5151,0.7350915913391542,IS,False
LTCUSDT,-1,1681228799999,-4.0854,11.838102049664823,IS,True
LTCUSDT,-1,1681545599999,-4.5809,7.040023085504354,IS,True
