mechanism,threshold_pct,is_kept,is_killed,is_kill_rate_pct,is_net_pnl_pct,is_net_pnl_delta_vs_anchor,is_per_trade_sharpe,is_sharpe_delta_vs_anchor,oos_kept,oos_killed,oos_kill_rate_pct,oos_net_pnl_pct,oos_net_pnl_delta_vs_anchor,oos_per_trade_sharpe,oos_sharpe_delta_vs_anchor
anchor_no_gate,n/a,124,0,0.0,3.2731,0.0,0.0038,0.0,34,0,0.0,-47.2484,0.0,-0.267,0.0
symmetric_btc_trend_gate,4.0,64,60,48.387,2.4597,-0.8134,0.0061,0.0022,21,13,38.235,-19.2739,27.9745,-0.1618,0.1053
symmetric_btc_trend_gate,6.0,75,49,39.516,9.312,6.0389,0.0193,0.0154,22,12,35.294,-22.1546,25.0938,-0.1813,0.0857
symmetric_btc_trend_gate,8.0,85,39,31.452,-20.7072,-23.9803,-0.0384,-0.0422,23,11,32.353,-26.6205,20.6279,-0.2115,0.0555
symmetric_btc_trend_gate,10.0,96,28,22.581,-53.1799,-56.453,-0.0874,-0.0913,27,7,20.588,-30.8453,16.4031,-0.2123,0.0547
symmetric_btc_trend_gate,12.0,102,22,17.742,-54.1008,-57.3739,-0.0842,-0.088,28,6,17.647,-33.2831,13.9653,-0.2248,0.0422
longsuppress_btc_trend_gate,4.0,92,32,25.806,14.0637,10.7906,0.0238,0.0199,29,5,14.706,-34.8,12.4484,-0.2308,0.0362
longsuppress_btc_trend_gate,6.0,99,25,20.161,-0.2271,-3.5002,-0.0004,-0.0042,29,5,14.706,-34.8,12.4484,-0.2308,0.0362
longsuppress_btc_trend_gate,8.0,104,20,16.129,-9.2281,-12.5012,-0.0138,-0.0176,30,4,11.765,-39.2659,7.9825,-0.2544,0.0126
longsuppress_btc_trend_gate,10.0,113,11,8.871,-43.8691,-47.1422,-0.0605,-0.0643,30,4,11.765,-39.2659,7.9825,-0.2544,0.0126
longsuppress_btc_trend_gate,12.0,115,9,7.258,-38.7742,-42.0473,-0.0526,-0.0564,30,4,11.765,-39.2659,7.9825,-0.2544,0.0126
shorts_only_total,n/a,50,74,59.677,14.0954,10.8223,0.0402,0.0364,15,19,55.882,-1.8052,45.4432,-0.0239,0.2431
