symbol,is_candidate,n_klines,first_open,last_open,covers_training_window,covers_oos_window,days_of_oos
BTCUSDT,False,7002,2020-01-01T00:00:00+00:00,2026-05-22T16:00:00+00:00,True,True,424
ETHUSDT,False,7002,2020-01-01T00:00:00+00:00,2026-05-22T16:00:00+00:00,True,True,424
LINKUSDT,False,6953,2020-01-17T08:00:00+00:00,2026-05-22T16:00:00+00:00,True,True,424
LTCUSDT,False,6962,2020-01-09T08:00:00+00:00,2026-05-22T16:00:00+00:00,True,True,424
DOTUSDT,False,6300,2020-08-22T00:00:00+00:00,2026-05-22T16:00:00+00:00,True,True,424
SOLUSDT,True,6203,2020-09-14T00:00:00+00:00,2026-05-18T08:00:00+00:00,True,True,420
XRPUSDT,True,6958,2020-01-06T08:00:00+00:00,2026-05-18T08:00:00+00:00,True,True,420
