month,pnl_pct,trade_count
2022-01,6.5442,3
2022-02,-3.4459,7
2022-03,-6.2103,4
2022-04,-2.2615,3
2022-05,9.1895,4
2022-06,-4.4225,2
2022-07,-8.4867,7
2022-08,5.2896,4
2022-09,-0.5346,6
2022-10,0.7773,5
2022-11,0.2127,2
2022-12,2.6653,6
2023-01,-3.1914,4
2023-02,-1.7221,4
2023-03,4.9791,3
2023-04,2.3892,4
2023-05,-2.7736,7
2023-06,0.7184,2
2023-07,-1.7471,5
2023-08,3.0828,5
2023-10,3.1707,4
2023-11,-0.7922,3
2023-12,-2.7904,5
2024-01,9.3187,4
2024-02,-0.2255,4
2024-04,-4.1043,1
2024-05,1.0323,5
2024-06,-2.3427,5
2024-07,-4.0085,5
2024-08,-0.1493,3
2024-09,1.9009,4
2024-10,-2.7067,1
2025-02,-4.6989,1
