feature_name,mean_gain,importance_rank
vol_atr_14,3647.0805,1
trend_aroon_osc_50,3213.5648,2
stat_autocorr_lag5,2378.7559,3
btc_funding_spread_30_90,2304.5217,4
vol_bb_bandwidth_20,1947.784,5
interact_natr_x_adx,1806.8674,6
stat_skew_20,1686.9146,7
trend_adx_14,1641.1603,8
oi_delta_30_z90,1636.8162,9
vol_natr_14,1210.5855,10
stat_kurtosis_20,1192.6191,11
mom_macd_hist_12_26_9,1189.6278,12
mom_macd_line_12_26_9,1134.8649,13
long_short_zscore_30,923.6941,14
vol_cmf_14,805.8211,15
trend_plus_di_14,792.7788,16
mr_pct_from_low_20,739.6651,17
funding_rate_zscore_90,723.5489,18
trend_aroon_osc_14,629.5543,19
trend_minus_di_14,589.0088,20
interact_rsi_x_adx,545.2103,21
mr_pct_from_high_20,541.0358,22
vol_mfi_14,445.1681,23
regime_momentum_signed_5d,366.8013,24
trend_ema_cross_5_12,319.2394,25
funding_rate_zscore_30,318.7457,26
mom_stoch_d_14,235.7869,27
interact_stoch_x_adx,181.8985,28
mom_willr_14,167.2662,29
trend_supertrend_14_3,153.0402,30
mom_stoch_k_14,149.6216,31
mom_roc_10,141.0042,32
mom_rsi_14,136.1583,33
cal_dow_norm,135.8568,34
interact_rsi_x_natr,134.8882,35
stat_return_5,128.8777,36
vol_range_spike_72,115.4118,37
vol_volume_pctchg_5,53.8123,38
vol_volume_rel_20,50.3992,39
vol_range_spike_24,49.8672,40
vol_taker_buy_ratio,33.6111,41
interact_ret1_x_ret3,28.163,42
interact_ret1_x_natr,24.3006,43
cal_hour_norm,18.1718,44
stat_log_return_1,17.8965,45
mr_rsi_extreme_14,1.5471,46
dot_vs_btc_ret_ratio_30,0.0,47
eth_vs_btc_ret_ratio_30,0.0,48
