month,selected_window,train_sharpe,n_windows_evaluated
2022-05,100,1.6753138226959925,9
2022-06,100,1.9797967312562803,9
2022-07,100,1.938760246162378,9
2022-08,100,1.9270913771808151,9
2022-09,150,1.687143553757267,9
2022-10,150,1.4119224243308095,9
2022-11,100,1.3873399348283177,9
2022-12,150,1.3811764987002266,9
2023-01,100,1.1638709049382174,9
2023-02,100,0.9699205164940762,9
2023-03,125,0.7165744274746901,9
2023-04,100,-0.07684549898032579,9
2023-05,100,-0.1902331598760882,9
2023-06,300,0.06087537916603888,8
2023-07,125,-0.01820700290410745,9
2023-08,100,0.34123009695219675,9
2023-09,100,0.3418403609323454,9
2023-10,125,-0.04084097681224097,9
2023-11,100,0.2165624862870885,9
2023-12,175,0.6680046671780152,9
2024-01,175,0.6938712710402868,9
2024-02,175,0.4124609939876963,9
2024-03,175,0.5207463654252243,9
2024-04,125,0.9069599841269261,9
2024-05,125,1.120341438611595,9
2024-06,125,0.9139210691109206,9
2024-07,125,0.7762231119979415,9
2024-08,125,0.9537124756953889,9
2024-09,125,0.777323068997882,9
2024-10,125,1.3044948506789704,9
2024-11,125,1.2263329537506273,9
2024-12,125,0.859469762630589,9
2025-01,125,1.0768419278137504,9
2025-02,125,1.1755631664809638,9
2025-03,125,1.3196567695627093,9
2025-04,125,1.8894745319805193,9
2025-05,125,1.794134823050306,9
2025-06,125,1.718327363507844,9
2025-07,125,1.66358483255756,9
2025-08,150,1.437856474794597,9
2025-09,125,1.292927700937774,9
2025-10,125,1.4389312640510874,9
2025-11,125,1.5836745792314253,9
2025-12,125,1.511895589118764,9
2026-01,125,1.3657057543105564,9
2026-02,125,1.44891494777802,9
2026-03,125,1.4068453984547884,9
2026-04,125,1.0155007347241143,9
2026-05,150,1.3303730324644765,9
2026-06,150,2.177931273751993,9
