universe_width_k,n_snapshots,mean_rank_ic,ic_information_ratio
3,4650,-0.05602,-0.0779
5,4650,-0.04125,-0.0773
8,4731,-0.0482,-0.1119
12,4734,-0.05028,-0.1368
22,5399,-0.04097,-0.1287
