fwd_horizon_bars,fwd_horizon_days,n_xs_snapshots,mean_rank_ic,std_rank_ic,ic_information_ratio,frac_snapshots_positive_ic,t_stat_mean_ic,abs_ic_information_ratio
1,0.33,5401,-0.03381,0.31657,-0.1068,0.4481,-7.849,0.1068
2,0.67,5400,-0.03728,0.31884,-0.1169,0.4415,-8.592,0.1169
3,1.0,5399,-0.04097,0.3184,-0.1287,0.4432,-9.454,0.1287
4,1.33,5398,-0.03599,0.3137,-0.1147,0.4541,-8.428,0.1147
6,2.0,5396,-0.03187,0.31227,-0.102,0.4494,-7.496,0.102
9,3.0,5393,-0.02681,0.30819,-0.087,0.4461,-6.388,0.087
