feature,n_snapshots,mean_xs_rank_ic_vs_fwd,abs_mean_xs_rank_ic,ic_ir,mean_xs_dispersion
range_realized_vol_50,5411,-0.06069,0.06069,-0.1709,0.25254
regime_momentum_signed_5d,5411,-0.04205,0.04205,-0.1287,4.29767
sym_vs_btc_ret_7d,5411,-0.03957,0.03957,-0.1255,8.68013
ema_spread_atr_20,5411,-0.03345,0.03345,-0.1107,11.79315
vwap_dev_20,5411,-0.03034,0.03034,-0.1005,5.48871
ret_skew_200,5411,-0.0283,0.0283,-0.096,7.06995
max_dd_window_50,5411,0.02779,0.02779,0.0832,0.25578
ret_skew_50,5411,-0.02042,0.02042,-0.0708,22.0455
ret_autocorr_lag1_50,5411,-0.00685,0.00685,-0.024,6.866
ret_kurt_200,5411,-0.00484,0.00484,-0.0166,0.85166
ret_kurt_50,5411,-0.00379,0.00379,-0.0134,1.50033
hurst_100,5411,0.00256,0.00256,0.0094,0.03778
hurst_diff_100_50,5411,-0.00241,0.00241,-0.0087,30.84422
btc_ret_14d,0,,,,0.0
