symbol,n,composed_vs_label_ic,raw_regime_mom_vs_label_ic,composed_vs_primitive_ic
BCHUSDT,5628,-0.0273,-0.0221,0.0971
LDOUSDT,2642,-0.0056,-0.0756,0.079
TRXUSDT,5570,0.0253,-0.0453,0.0439
