symbol,n_IS,test_n,base_rate,acc_14,acc_14_plus_basis,delta
BCHUSDT,5627,1689,0.6442,0.6418,0.6353,-0.0065
LDOUSDT,2641,793,0.657,0.5902,0.575,-0.0151
TRXUSDT,5569,1671,0.5757,0.538,0.5332,-0.0048
