symbol,horizon,n,basis_z_vs_fwdret_ic
BCHUSDT,fwd_ret_1bar,5697,-0.0058
BCHUSDT,fwd_ret_3bar,5697,-0.0049
LDOUSDT,fwd_ret_1bar,2711,-0.0314
LDOUSDT,fwd_ret_3bar,2711,-0.0295
TRXUSDT,fwd_ret_1bar,5639,-0.0179
TRXUSDT,fwd_ret_3bar,5639,-0.0249
