symbol,perp_IS_rows,spot_merge_coverage,basis_raw_mean_bps,basis_raw_std_bps,basis_z30_coverage,basis_mom3_coverage,basis_flag_coverage,basis_z30_unique
BCHUSDT,5727,1.0,-1.97,12.89,0.9948,0.9993,0.9984,5280
LDOUSDT,2741,1.0,-1.52,8.52,0.9891,0.9985,0.9967,2616
TRXUSDT,5669,1.0,-1.74,9.29,0.9947,0.9993,0.9984,5226
