candidate,symbol,max_abs_ic_vs_13_features,max_abs_ic_feature,n_ic_features_compared,ic_passes_brief_target_lt_0p50,ic_passes_hard_gate_lt_0p70
regime_momentum_signed_5d,BCHUSDT,0.874029,vwap_dev_20,13,False,False
vol_adj_autocorr,BCHUSDT,0.984803,ret_autocorr_lag1_50,13,False,False
cross_asset_divergence_norm,BCHUSDT,0.695018,sym_vs_btc_ret_7d,13,False,True
hurst_drift_50_200,BCHUSDT,0.801289,hurst_diff_100_50,13,False,False
fracdiff_d05_close,BCHUSDT,0.505022,vwap_dev_20,13,False,True
ret_kurt_to_skew_ratio,BCHUSDT,0.55903,ret_kurt_50,13,False,True
regime_momentum_signed_5d,LDOUSDT,0.886513,vwap_dev_20,13,False,False
vol_adj_autocorr,LDOUSDT,0.980253,ret_autocorr_lag1_50,13,False,False
cross_asset_divergence_norm,LDOUSDT,0.756056,sym_vs_btc_ret_7d,13,False,False
hurst_drift_50_200,LDOUSDT,0.832691,hurst_diff_100_50,13,False,False
fracdiff_d05_close,LDOUSDT,0.63997,vwap_dev_20,13,False,True
ret_kurt_to_skew_ratio,LDOUSDT,0.676635,ret_kurt_50,13,False,True
regime_momentum_signed_5d,TRXUSDT,0.829061,vwap_dev_20,13,False,False
vol_adj_autocorr,TRXUSDT,0.97579,ret_autocorr_lag1_50,13,False,False
cross_asset_divergence_norm,TRXUSDT,0.746137,btc_ret_14d,13,False,False
hurst_drift_50_200,TRXUSDT,0.820382,hurst_diff_100_50,13,False,False
fracdiff_d05_close,TRXUSDT,0.372564,ret_skew_200,13,True,True
ret_kurt_to_skew_ratio,TRXUSDT,0.647712,ret_kurt_50,13,False,True
