split,path,new_floor,new_ceiling,symbol,wpnl_baseline,wpnl_counterfactual,wpnl_delta
IS,B_floor_0.4,0.4,1.0,BCHUSDT,78.3438,78.43376356050071,0.08996356050070631
IS,B_floor_0.4,0.4,1.0,LDOUSDT,-1.6639999999999997,-2.029880804953562,-0.36588080495356223
IS,B_floor_0.4,0.4,1.0,TRXUSDT,-24.789100000000005,-24.820368142968146,-0.03126814296814118
IS,B_floor_0.4,0.4,1.0,TOTAL,51.890699999999995,51.583514612579016,-0.30718538742097934
IS,B_floor_0.5,0.5,1.0,BCHUSDT,78.3438,79.91968014996115,1.5758801499611508
IS,B_floor_0.5,0.5,1.0,LDOUSDT,-1.6639999999999997,-3.7464958725947257,-2.082495872594726
IS,B_floor_0.5,0.5,1.0,TRXUSDT,-24.789100000000005,-24.950795026858057,-0.1616950268580517
IS,B_floor_0.5,0.5,1.0,TOTAL,51.890699999999995,51.222389250508385,-0.6683107494916101
IS,E_ceiling_0.8,0.3,0.8,BCHUSDT,78.3438,68.94113980106887,-9.40266019893113
IS,E_ceiling_0.8,0.3,0.8,LDOUSDT,-1.6639999999999997,2.024558166579358,3.688558166579358
IS,E_ceiling_0.8,0.3,0.8,TRXUSDT,-24.789100000000005,-22.999237582027295,1.78986241797271
IS,E_ceiling_0.8,0.3,0.8,TOTAL,51.890699999999995,47.96646038562092,-3.9242396143790756
IS,E_ceiling_0.7,0.3,0.7,BCHUSDT,78.3438,61.01119206236636,-17.33260793763364
IS,E_ceiling_0.7,0.3,0.7,LDOUSDT,-1.6639999999999997,1.9041827139387584,3.568182713938758
IS,E_ceiling_0.7,0.3,0.7,TRXUSDT,-24.789100000000005,-21.037500667518046,3.751599332481959
IS,E_ceiling_0.7,0.3,0.7,TOTAL,51.890699999999995,41.87787410878708,-10.012825891212913
OOS,B_floor_0.4,0.4,1.0,BCHUSDT,1.9077000000000015,2.154072752737459,0.2463727527374573
OOS,B_floor_0.4,0.4,1.0,LDOUSDT,-19.7208,-19.7208,0.0
OOS,B_floor_0.4,0.4,1.0,TRXUSDT,23.311899999999998,23.335651633093427,0.023751633093429092
OOS,B_floor_0.4,0.4,1.0,TOTAL,5.498799999999996,5.7689243858308785,0.27012438583088283
OOS,B_floor_0.5,0.5,1.0,BCHUSDT,1.9077000000000015,2.405914807134973,0.4982148071349717
OOS,B_floor_0.5,0.5,1.0,LDOUSDT,-19.7208,-20.514443360433607,-0.793643360433606
OOS,B_floor_0.5,0.5,1.0,TRXUSDT,23.311899999999998,23.9065087211386,0.5946087211386022
OOS,B_floor_0.5,0.5,1.0,TOTAL,5.498799999999996,5.79798016783997,0.2991801678399746
OOS,E_ceiling_0.8,0.3,0.8,BCHUSDT,1.9077000000000015,1.037074188660506,-0.8706258113394956
OOS,E_ceiling_0.8,0.3,0.8,LDOUSDT,-19.7208,-17.058012737702718,2.6627872622972824
OOS,E_ceiling_0.8,0.3,0.8,TRXUSDT,23.311899999999998,21.805712262322384,-1.5061877376776138
OOS,E_ceiling_0.8,0.3,0.8,TOTAL,5.498799999999996,5.7847737132801775,0.28597371328018184
OOS,E_ceiling_0.7,0.3,0.7,BCHUSDT,1.9077000000000015,-0.20440951272562602,-2.1121095127256275
OOS,E_ceiling_0.7,0.3,0.7,LDOUSDT,-19.7208,-15.250323645489875,4.470476354510126
OOS,E_ceiling_0.7,0.3,0.7,TRXUSDT,23.311899999999998,19.983919697928346,-3.3279803020716514
OOS,E_ceiling_0.7,0.3,0.7,TOTAL,5.498799999999996,4.5291865397128435,-0.9696134602871522
