symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,-1,83696.000000,86203.184627,0.3300,1743235199999,1743609599999,stop_loss,-2.9956,0.1000,-3.0956,-1.0215,86203.184627,78681.630745,1743839999999,0.841245
BTCUSDT,1,83181.500000,79576.457369,0.3300,1743724799999,1743983999999,stop_loss,-4.3339,0.1000,-4.4339,-1.4632,79576.457369,90391.585261,1744329599999,0.722501
BTCUSDT,1,79140.000000,84553.900000,0.3300,1744070399999,1744675200000,timeout,6.8409,0.1000,6.7409,2.2245,74474.692503,88470.614994,1744675199999,0.716348
BTCUSDT,-1,83608.700000,87142.016306,0.3300,1744761599999,1745222399999,stop_loss,-4.2260,0.1000,-4.3260,-1.4276,87142.016306,76542.067389,1745366399999,0.822316
BTCUSDT,-1,88434.900000,90947.757485,0.3300,1745308799999,1745337599999,stop_loss,-2.8415,0.1000,-2.9415,-0.9707,90947.757485,83409.185029,1745913599999,0.932724
BTCUSDT,1,93632.100000,94125.200000,0.3300,1745452799999,1746057600000,timeout,0.5266,0.1000,0.4266,0.1408,90428.196995,100039.906009,1746057599999,0.654008
BTCUSDT,-1,96423.300000,99096.208823,0.3300,1746143999999,1746691199999,stop_loss,-2.7721,0.1000,-2.8721,-0.9478,99096.208823,91077.482354,1746748799999,0.793908
BTCUSDT,1,103597.400000,103646.500000,0.3300,1746777599999,1747382400000,timeout,0.0474,0.1000,-0.0526,-0.0174,100479.888911,109832.422179,1747382399999,0.775224
BTCUSDT,1,103399.400000,108607.983659,0.3300,1747468799999,1747843199999,take_profit,5.0373,0.1000,4.9373,1.6293,100795.108171,108607.983659,1748073599999,0.919999
BTCUSDT,-1,111250.600000,106972.600000,0.3300,1747929599999,1748534400000,timeout,3.8454,0.1000,3.7454,1.2360,115147.417415,103456.965171,1748534399999,0.820492
