check_type,symbol,feature,value,threshold,pass,note
ADF,ETHUSDT,eth_vs_btc_ret_ratio_30,0.0,0.05,1,INFORMATIONAL — p < 0.05 stationary; no BLOCK on result (rule bf2c812); ADF regression=c maxlag=10
IC_pearson,ETHUSDT,trend_adx_14,0.101727,0.3,1,ok
IC_pearson,ETHUSDT,vol_bb_bandwidth_20,0.09086,0.3,1,ok
IC_pearson,ETHUSDT,mr_pct_from_low_20,0.080314,0.3,1,ok
IC_pearson,ETHUSDT,interact_natr_x_adx,0.062523,0.3,1,ok
IC_pearson,ETHUSDT,interact_stoch_x_adx,0.062346,0.3,1,ok
IC_pearson,ETHUSDT,mom_roc_10,0.060025,0.3,1,ok
IC_pearson,ETHUSDT,interact_rsi_x_adx,0.059754,0.3,1,ok
IC_pearson,ETHUSDT,mom_rsi_14,0.059498,0.3,1,ok
IC_pearson,ETHUSDT,trend_plus_di_14,0.057548,0.3,1,ok
IC_pearson,ETHUSDT,regime_momentum_signed_5d,0.054716,0.3,1,ok
IC_pearson,ETHUSDT,mr_rsi_extreme_14,0.054696,0.3,1,ok
IC_pearson,ETHUSDT,vol_cmf_14,0.05462,0.3,1,ok
IC_pearson,ETHUSDT,mom_stoch_d_14,0.04986,0.3,1,ok
IC_pearson,ETHUSDT,vol_mfi_14,0.049859,0.3,1,ok
IC_pearson,ETHUSDT,trend_ema_cross_5_12,0.048393,0.3,1,ok
IC_pearson,ETHUSDT,mom_stoch_k_14,0.047657,0.3,1,ok
IC_pearson,ETHUSDT,mom_willr_14,0.04702,0.3,1,ok
IC_pearson,ETHUSDT,trend_supertrend_14_3,0.045328,0.3,1,ok
IC_pearson,ETHUSDT,long_short_zscore_30,0.044152,0.3,1,ok
IC_pearson,ETHUSDT,interact_rsi_x_natr,0.042295,0.3,1,ok
IC_pearson,ETHUSDT,trend_minus_di_14,0.040731,0.3,1,ok
IC_pearson,ETHUSDT,stat_skew_20,0.039506,0.3,1,ok
IC_pearson,ETHUSDT,stat_return_5,0.038751,0.3,1,ok
IC_pearson,ETHUSDT,mom_macd_hist_12_26_9,0.037621,0.3,1,ok
IC_pearson,ETHUSDT,trend_aroon_osc_14,0.036449,0.3,1,ok
IC_pearson,ETHUSDT,funding_rate_zscore_30,0.026598,0.3,1,ok
IC_pearson,ETHUSDT,stat_kurtosis_20,0.024934,0.3,1,ok
IC_pearson,ETHUSDT,vol_natr_14,0.024097,0.3,1,ok
IC_pearson,ETHUSDT,funding_rate_zscore_90,0.022221,0.3,1,ok
IC_pearson,ETHUSDT,vol_range_spike_72,0.017527,0.3,1,ok
IC_pearson,ETHUSDT,stat_autocorr_lag5,0.013279,0.3,1,ok
IC_pearson,ETHUSDT,cal_dow_norm,0.013207,0.3,1,ok
IC_pearson,ETHUSDT,mom_macd_line_12_26_9,0.011522,0.3,1,ok
IC_pearson,ETHUSDT,trend_aroon_osc_50,0.010422,0.3,1,ok
IC_pearson,ETHUSDT,cal_hour_norm,0.010098,0.3,1,ok
IC_pearson,ETHUSDT,vol_volume_pctchg_5,0.009698,0.3,1,ok
IC_pearson,ETHUSDT,stat_log_return_1,0.009679,0.3,1,ok
IC_pearson,ETHUSDT,vol_range_spike_24,0.007587,0.3,1,ok
IC_pearson,ETHUSDT,btc_funding_spread_30_90,0.006775,0.3,1,ok
IC_pearson,ETHUSDT,interact_ret1_x_ret3,0.005367,0.3,1,ok
IC_pearson,ETHUSDT,mr_pct_from_high_20,0.004561,0.3,1,ok
IC_pearson,ETHUSDT,vol_taker_buy_ratio,0.004391,0.3,1,ok
IC_pearson,ETHUSDT,vol_volume_rel_20,0.00386,0.3,1,ok
IC_pearson,ETHUSDT,oi_delta_30_z90,0.003452,0.3,1,ok
IC_pearson,ETHUSDT,vol_atr_14,0.002319,0.3,1,ok
IC_pearson,ETHUSDT,interact_ret1_x_natr,0.00138,0.3,1,ok
dist_stats,ETHUSDT,eth_vs_btc_ret_ratio_30,0.016788,,1,n=5608 mean=0.0168 std=1.1177 skew=-0.2497 kurt=7.8209 p05=-1.5933 p95=1.9207 min=-8.0874 max=7.5355 clip_events=0
