symbol,avg_pairwise_corr_vs_bundle,corr_vs_ew_bundle,max_single_member_corr,max_member,corr_DOT,corr_ETH,corr_BTC,corr_AAVE,is_years,triv_s5,triv_s21,triv_s50,trivial_baseline_min_horizon,gate1_pass
TRBUSDT,0.5481,0.6135,0.5655,ETH,0.5648,0.5655,0.5261,0.5358,4.55,-0.179,-0.116,0.418,-0.179,True
STORJUSDT,0.5505,0.6168,0.567,DOT,0.567,0.5637,0.5395,0.5316,4.52,0.743,-0.127,0.028,-0.127,True
SFPUSDT,0.5611,0.619,0.5883,DOT,0.5883,0.5677,0.548,0.5404,4.08,-0.755,-0.299,-1.883,-1.883,True
AXSUSDT,0.5667,0.6324,0.5876,ETH,0.5774,0.5876,0.5463,0.5554,4.34,0.928,1.204,1.541,0.928,False
XMRUSDT,0.5731,0.6176,0.6197,ETH,0.5462,0.6197,0.6177,0.5088,5.13,-1.082,0.061,-0.578,-1.082,True
SKLUSDT,0.5882,0.6555,0.6052,ETH,0.6036,0.6052,0.5716,0.5722,4.29,0.23,0.359,0.899,0.23,False
CHZUSDT,0.5888,0.6544,0.6193,DOT,0.6193,0.595,0.5658,0.5749,4.17,0.985,0.883,0.447,0.447,False
ZENUSDT,0.5914,0.6596,0.6128,DOT,0.6128,0.6126,0.5687,0.5715,4.33,0.034,0.672,-0.099,-0.099,True
CHRUSDT,0.5992,0.6622,0.6252,DOT,0.6252,0.6008,0.5864,0.5844,4.03,0.093,-0.126,0.561,-0.126,True
ZRXUSDT,0.6012,0.6887,0.6171,DOT,0.6171,0.6141,0.5669,0.6065,4.75,0.252,-0.223,0.1,-0.223,True
SANDUSDT,0.6077,0.6724,0.639,DOT,0.639,0.6204,0.5954,0.5761,4.16,1.8,0.447,0.94,0.447,False
ANKRUSDT,0.6112,0.677,0.6311,DOT,0.6311,0.6206,0.5989,0.5942,4.16,0.83,0.692,0.507,0.507,False
KNCUSDT,0.6146,0.6985,0.6374,DOT,0.6374,0.6345,0.5856,0.601,4.75,0.116,-0.306,-0.002,-0.306,True
EGLDUSDT,0.6153,0.6929,0.6436,DOT,0.6436,0.6212,0.5867,0.6097,4.52,0.619,0.749,0.961,0.619,False
SXPUSDT,0.6157,0.7101,0.6478,DOT,0.6478,0.6193,0.5791,0.6165,4.67,0.53,0.062,0.172,0.062,True
IOSTUSDT,0.6164,0.6865,0.6424,ETH,0.6171,0.6424,0.6197,0.5864,5.09,0.489,-0.188,0.385,-0.188,True
MKRUSDT,0.6187,0.6931,0.6917,ETH,0.5788,0.6917,0.5909,0.6133,4.61,0.394,0.368,-0.322,-0.322,True
KAVAUSDT,0.6237,0.7113,0.6504,DOT,0.6504,0.6321,0.5873,0.6251,4.65,-0.078,-0.491,-0.525,-0.525,True
XLMUSDT,0.6261,0.6924,0.6615,ETH,0.6468,0.6615,0.6239,0.5723,5.17,0.369,0.608,0.647,0.369,False
RSRUSDT,0.6282,0.7042,0.6464,ETH,0.6356,0.6464,0.6093,0.6216,4.43,0.517,-0.174,0.285,-0.174,True
LRCUSDT,0.6289,0.7053,0.662,ETH,0.6499,0.662,0.5937,0.6098,4.43,0.289,0.625,0.735,0.289,False
COTIUSDT,0.6331,0.6998,0.6622,DOT,0.6622,0.6395,0.6145,0.6161,4.04,-0.494,-0.088,-0.225,-0.494,True
ALICEUSDT,0.6345,0.7014,0.6624,DOT,0.6624,0.6393,0.6166,0.6196,4.02,0.446,-0.098,0.203,-0.098,True
HBARUSDT,0.6361,0.7016,0.6658,DOT,0.6658,0.6365,0.6303,0.6119,4.02,0.216,-0.046,0.349,-0.046,True
YFIUSDT,0.6433,0.741,0.6803,AAVE,0.6335,0.6759,0.5835,0.6803,4.56,-0.151,0.071,0.093,-0.151,True
ALPHAUSDT,0.6434,0.7222,0.6663,ETH,0.6568,0.6663,0.5938,0.6565,4.33,0.992,0.346,-0.146,-0.146,True
RUNEUSDT,0.6437,0.7259,0.6699,ETH,0.6431,0.6699,0.6279,0.6339,4.55,0.359,0.812,0.748,0.359,False
BANDUSDT,0.6441,0.7327,0.6644,ETH,0.6602,0.6644,0.6109,0.641,4.65,-0.111,-0.401,-0.521,-0.521,True
THETAUSDT,0.6449,0.7383,0.681,DOT,0.681,0.6437,0.6312,0.6237,4.82,0.282,0.237,0.581,0.237,False
ZECUSDT,0.6459,0.721,0.6792,ETH,0.6568,0.6792,0.6375,0.6102,5.13,0.448,0.006,-0.061,-0.061,True
ALGOUSDT,0.6487,0.7421,0.7019,DOT,0.7019,0.6505,0.6081,0.6343,4.77,0.242,0.402,0.735,0.242,False
ZILUSDT,0.6502,0.7379,0.6708,DOT,0.6708,0.6672,0.6317,0.6312,4.76,0.352,0.322,0.516,0.322,False
ICXUSDT,0.6506,0.7282,0.6817,DOT,0.6817,0.671,0.6296,0.6202,4.52,0.384,0.142,0.763,0.142,True
SUSHIUSDT,0.6513,0.7595,0.7056,AAVE,0.6621,0.6721,0.5655,0.7056,4.55,0.268,0.62,0.147,0.147,True
GRTUSDT,0.6516,0.7279,0.6772,DOT,0.6772,0.656,0.6302,0.6429,4.26,0.082,1.0,0.694,0.082,True
ENJUSDT,0.6525,0.732,0.6767,ETH,0.6755,0.6767,0.623,0.6349,4.48,0.734,0.649,0.63,0.63,False
KSMUSDT,0.6553,0.7407,0.7617,DOT,0.7617,0.6445,0.5948,0.6204,4.44,0.759,0.717,1.001,0.717,False
MANAUSDT,0.6571,0.7261,0.7054,DOT,0.7054,0.6585,0.6387,0.6257,4.02,0.263,0.673,0.81,0.263,False
