symbol,horizon,n_compared,tb_vs_fh_agreement,n_disagree,mean_abs_fwd_ret_on_disagree_pct,mean_abs_fwd_ret_all_pct
BCHUSDT,7,5727,0.7772,1276,2.4116,5.1003
BCHUSDT,14,5727,0.813,1071,3.9499,7.5969
BCHUSDT,21,5727,0.8174,1046,5.9338,9.5268
LDOUSDT,7,2741,0.7643,646,3.1271,6.5396
LDOUSDT,14,2741,0.811,518,5.5207,9.2809
LDOUSDT,21,2741,0.7702,630,7.8419,11.1264
TRXUSDT,7,5669,0.777,1264,1.9668,4.0825
TRXUSDT,14,5669,0.8053,1104,2.9285,5.847
TRXUSDT,21,5669,0.8109,1072,4.4131,7.1853
