symbol,labeling,horizon_candles,n_labelable,n_long,n_short,long_frac,entropy_bits,imbalance_abs
BCHUSDT,ATR_triple_barrier,21,5727,2807,2920,0.4901,0.9997,0.0099
BCHUSDT,fixed_horizon_7,7,5727,2845,2882,0.4968,1.0,0.0032
BCHUSDT,fixed_horizon_14,14,5727,2806,2921,0.49,0.9997,0.01
BCHUSDT,fixed_horizon_21,21,5727,2773,2954,0.4842,0.9993,0.0158
LDOUSDT,ATR_triple_barrier,21,2741,1352,1389,0.4933,0.9999,0.0067
LDOUSDT,fixed_horizon_7,7,2741,1306,1435,0.4765,0.9984,0.0235
LDOUSDT,fixed_horizon_14,14,2741,1326,1415,0.4838,0.9992,0.0162
LDOUSDT,fixed_horizon_21,21,2741,1338,1403,0.4881,0.9996,0.0119
TRXUSDT,ATR_triple_barrier,21,5669,3121,2548,0.5505,0.9926,0.0505
TRXUSDT,fixed_horizon_7,7,5669,3109,2560,0.5484,0.9932,0.0484
TRXUSDT,fixed_horizon_14,14,5669,3153,2516,0.5562,0.9909,0.0562
TRXUSDT,fixed_horizon_21,21,5669,3243,2426,0.5721,0.985,0.0721
