symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
LINKUSDT,1,20.742000,23.988079,1.0000,1641110399999,1641311999999,take_profit,3.12996,0.1000,3.10996,3.10996,19.118961,23.988079,1641715199999,0.704019,C4-LINK
BTCUSDT,-1,47186.830000,42394.289575,1.0000,1641023999999,1641427199999,take_profit,2.0313,0.1000,2.0113,2.0113,49583.100212,42394.289575,1641628799999,0.770653,C1-BTC
ETHUSDT,-1,3826.210000,3501.033374,1.0000,1641167999999,1641427199999,take_profit,1.69974,0.1000,1.67974,1.67974,3988.798313,3501.033374,1641772799999,0.710808,C2-ETH
LINKUSDT,-1,25.379000,28.302319,1.0000,1641513599999,1641772799999,stop_loss,-2.30374,0.1000,-2.32374,-2.32374,28.302319,19.532362,1642118399999,0.722410,C4-LINK
ETHUSDT,1,3161.760000,2948.762686,1.0000,1641801599999,1641830399999,stop_loss,-1.34734,0.1000,-1.36734,-1.36734,2948.762686,3587.754628,1642406399999,0.716704,C2-ETH
LTCUSDT,1,131.160000,121.892011,1.0000,1641657599999,1641830399999,stop_loss,-1.41324,0.1000,-1.43324,-1.43324,121.892011,149.695978,1642262399999,0.725665,C5-LTC
LTCUSDT,1,129.190000,146.760880,1.0000,1641916799999,1642233599999,take_profit,2.72016,0.1000,2.70016,2.70016,120.404560,146.760880,1642521599999,0.846161,C5-LTC
LINKUSDT,-1,27.974000,23.773000,1.0000,1641859199999,1642464000000,timeout,3.0035,0.1000,2.9835,2.9835,31.488674,20.944651,1642463999999,0.972366,C4-LINK
BTCUSDT,-1,42700.680000,42337.580000,1.0000,1641945599999,1642550400000,timeout,0.17006,0.1000,0.15006,0.15006,45062.050082,37977.939836,1642550399999,0.695712,C1-BTC
LTCUSDT,1,146.010000,136.270419,1.0000,1642492799999,1642579199999,stop_loss,-1.3341,0.1000,-1.3541,-1.3541,136.270419,165.489162,1643097599999,0.835004,C5-LTC
ETHUSDT,-1,3369.930000,3082.800000,1.0000,1642031999999,1642636800000,timeout,1.70408,0.1000,1.68408,1.68408,3579.388674,2951.012652,1642636799999,0.738273,C2-ETH
LINKUSDT,1,22.951000,20.927162,1.0000,1642550399999,1642723199999,stop_loss,-1.76362,0.1000,-1.78362,-1.78362,20.927162,26.998675,1643155199999,0.762754,C4-LINK
BTCUSDT,1,41657.890000,39923.822959,1.0000,1642636799999,1642751999999,stop_loss,-0.83252,0.1000,-0.85252,-0.85252,39923.822959,45126.024083,1643241599999,0.800008,C1-BTC
LTCUSDT,1,123.790000,111.955870,1.0000,1642780799999,1642809599999,stop_loss,-1.91196,0.1000,-1.93196,-1.93196,111.955870,147.458261,1643385599999,0.718924,C5-LTC
LINKUSDT,1,15.568000,17.145000,1.0000,1643068799999,1643673600000,timeout,2.02596,0.1000,2.00596,2.00596,12.777872,21.148255,1643673599999,0.893412,C4-LINK
LTCUSDT,1,109.480000,109.430000,1.0000,1643068799999,1643673600000,timeout,-0.00914,0.1000,-0.02914,-0.02914,94.887938,138.664124,1643673599999,0.970119,C5-LTC
BTCUSDT,1,36035.000000,38420.650000,1.0000,1643097599999,1643702400000,timeout,1.32408,0.1000,1.30408,1.30408,32931.710753,42241.578495,1643702399999,0.697797,C1-BTC
ETHUSDT,-1,2600.450000,2819.196235,1.0000,1643587199999,1643990399999,stop_loss,-1.68238,0.1000,-1.70238,-1.70238,2819.196235,2162.957530,1644191999999,0.740249,C2-ETH
BTCUSDT,-1,38268.320000,40169.827756,1.0000,1643788799999,1644019199999,stop_loss,-0.99378,0.1000,-1.01378,-1.01378,40169.827756,34465.304489,1644393599999,0.967401,C1-BTC
LTCUSDT,-1,110.890000,118.669188,0.3300,1643932799999,1644019199999,stop_loss,-1.40304,0.1000,-1.42304,-0.4696,118.669188,95.331624,1644537599999,0.757188,C5-LTC
BTCUSDT,-1,42712.800000,44750.590322,0.3300,1644220799999,1644307199999,stop_loss,-0.95418,0.1000,-0.97418,-0.32148,44750.590322,38637.219356,1644825599999,0.925462,C1-BTC
