family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.014035,0.014034,0.009539,0.018528,2,2
calendar,interaction,-0.009228,-0.009228,nan,nan,2,6
calendar,mean_reversion,-0.004500,-0.004500,nan,nan,2,26
calendar,momentum,0.010982,0.010982,nan,nan,2,36
calendar,statistical,0.002833,0.002833,nan,nan,2,24
calendar,trend,0.005961,0.005961,nan,nan,2,39
calendar,volatility,-0.003377,-0.003377,nan,nan,2,40
calendar,volume,-0.006799,-0.006799,nan,nan,2,20
interaction,interaction,-0.016114,-0.020488,-0.028922,-0.002012,6,6
interaction,mean_reversion,0.148441,0.148441,nan,nan,6,26
interaction,momentum,0.131156,0.131156,nan,nan,6,36
interaction,statistical,-0.007252,-0.007252,nan,nan,6,24
interaction,trend,0.098858,0.098858,nan,nan,6,39
interaction,volatility,0.742645,0.742645,nan,nan,6,40
interaction,volume,0.045813,0.045813,nan,nan,6,20
mean_reversion,mean_reversion,-0.004432,-0.016626,-0.027170,0.012207,26,26
mean_reversion,momentum,0.452848,0.452848,nan,nan,26,36
mean_reversion,statistical,0.030009,0.030009,nan,nan,26,24
mean_reversion,trend,0.252574,0.252574,nan,nan,26,39
mean_reversion,volatility,0.099691,0.099691,nan,nan,26,40
mean_reversion,volume,0.337284,0.337284,nan,nan,26,20
momentum,momentum,-0.022012,-0.021746,-0.026527,-0.018208,36,36
momentum,statistical,0.157609,0.157609,nan,nan,36,24
momentum,trend,0.704285,0.704285,nan,nan,36,39
momentum,volatility,0.072078,0.072078,nan,nan,36,40
momentum,volume,0.779379,0.779379,nan,nan,36,20
statistical,statistical,-0.007858,-0.014559,-0.015139,-0.006961,24,24
statistical,trend,0.147683,0.147683,nan,nan,24,39
statistical,volatility,0.000423,0.000423,nan,nan,24,40
statistical,volume,0.117682,0.117682,nan,nan,24,20
trend,trend,-0.012251,-0.017312,-0.024119,-0.002497,39,39
trend,volatility,0.103968,0.103968,nan,nan,39,40
trend,volume,0.695862,0.695862,nan,nan,39,20
volatility,volatility,0.009345,0.013418,0.003198,0.018660,40,40
volatility,volume,0.036408,0.036408,nan,nan,40,20
volume,volume,-0.000459,0.005328,-0.019373,0.024245,20,20
