floor,pooled_sharpe,maxDD,avg_mult
1.0,1.87,306.0,1.0
0.5,1.934,232.6,0.75
0.35,1.941,223.3,0.675
0.25,1.94,220.8,0.625
0.1,1.925,218.0,0.55
