trigger,anchor,floor,pooled_sharpe,maxDD,dd_red_pct,fire_rate,avg_scale,total_ret
20,80,0.5,2.397,187.5,-38.7,0.877,0.644,1335.2
20,80,0.33,2.538,148.2,-51.6,0.885,0.524,1279.4
20,80,0.2,2.581,118.6,-61.2,0.891,0.435,1211.7
20,120,0.5,2.27,199.8,-34.7,0.871,0.694,1341.2
20,120,0.33,2.359,165.7,-45.8,0.877,0.598,1295.0
20,120,0.2,2.389,141.9,-53.6,0.882,0.532,1246.0
20,160,0.5,2.182,211.7,-30.8,0.868,0.74,1349.0
20,160,0.33,2.25,184.6,-39.7,0.873,0.667,1315.0
20,160,0.2,2.292,166.5,-45.6,0.875,0.619,1290.5
20,200,0.5,2.119,224.8,-26.5,0.867,0.784,1357.6
20,200,0.33,2.185,202.4,-33.9,0.869,0.724,1336.8
20,200,0.2,2.228,187.9,-38.6,0.871,0.683,1320.4
40,80,0.5,2.332,192.0,-37.3,0.778,0.661,1337.0
40,80,0.33,2.437,153.1,-50.0,0.789,0.545,1280.6
40,80,0.2,2.45,123.3,-59.7,0.795,0.455,1209.7
40,120,0.5,2.218,204.2,-33.3,0.776,0.71,1343.0
40,120,0.33,2.286,170.9,-44.2,0.781,0.616,1296.9
40,120,0.2,2.294,146.2,-52.2,0.784,0.548,1244.2
40,160,0.5,2.135,215.9,-29.5,0.772,0.756,1349.5
40,160,0.33,2.188,189.0,-38.3,0.777,0.684,1316.5
40,160,0.2,2.212,171.0,-44.1,0.779,0.637,1288.4
40,200,0.5,2.078,229.0,-25.2,0.771,0.8,1357.8
40,200,0.33,2.128,207.1,-32.3,0.773,0.744,1337.4
40,200,0.2,2.161,193.3,-36.8,0.775,0.705,1321.5
60,80,0.5,2.262,196.2,-35.9,0.703,0.677,1326.2
60,80,0.33,2.345,157.7,-48.5,0.713,0.56,1266.8
60,80,0.2,2.353,127.7,-58.3,0.728,0.466,1197.5
60,120,0.5,2.164,208.7,-31.8,0.698,0.726,1340.0
60,120,0.33,2.212,175.4,-42.7,0.704,0.633,1290.6
60,120,0.2,2.204,151.0,-50.7,0.715,0.562,1233.1
60,160,0.5,2.09,219.5,-28.3,0.694,0.771,1347.7
60,160,0.33,2.126,192.9,-37.0,0.699,0.701,1311.8
60,160,0.2,2.132,174.9,-42.8,0.705,0.653,1278.0
60,200,0.5,2.038,232.7,-24.0,0.692,0.815,1356.4
60,200,0.33,2.074,211.7,-30.8,0.694,0.762,1335.0
60,200,0.2,2.095,198.0,-35.3,0.695,0.727,1318.1
80,120,0.5,2.12,213.0,-30.4,0.614,0.741,1340.9
80,120,0.33,2.149,180.0,-41.2,0.627,0.649,1287.6
80,120,0.2,2.124,154.8,-49.4,0.643,0.575,1222.1
80,160,0.5,2.05,223.2,-27.1,0.613,0.785,1346.5
80,160,0.33,2.071,196.8,-35.7,0.627,0.716,1307.8
80,160,0.2,2.065,178.5,-41.7,0.634,0.667,1270.4
80,200,0.5,2.005,236.6,-22.7,0.606,0.83,1356.9
80,200,0.33,2.027,216.2,-29.4,0.612,0.78,1332.9
80,200,0.2,2.038,202.4,-33.9,0.622,0.747,1315.1
