sub_period,n,full_net,avg_brake_scale,brake_fire_rate
2021-01,534,247.17,0.525,0.792
2021-07,552,747.9,0.719,0.668
2022-01,543,145.14,0.475,0.904
2022-07,552,-89.18,0.503,0.937
2023-01,543,198.17,0.378,0.939
2023-07,552,38.42,0.217,1.0
2024-01,546,224.99,0.505,0.841
2024-07,552,-103.64,0.265,1.0
2025-01,237,0.82,0.2,1.0
