decile,n,conv_lo,conv_hi,WR,mean_net,pooled_sharpe,frac_long,frac_bull
0,462,0.0,0.246,0.457,-0.114,-0.289,0.474,0.491
1,461,0.246,0.491,0.477,0.47,0.986,0.484,0.536
2,461,0.492,0.755,0.453,0.237,0.516,0.514,0.514
3,461,0.756,1.021,0.412,-0.132,-0.315,0.488,0.536
4,461,1.022,1.334,0.436,0.325,0.649,0.486,0.566
5,461,1.334,1.711,0.447,0.29,0.552,0.495,0.508
6,461,1.712,2.167,0.473,0.56,1.18,0.549,0.568
7,461,2.168,2.816,0.41,0.097,0.179,0.618,0.584
8,461,2.817,3.836,0.484,0.497,0.856,0.67,0.644
9,461,3.837,11.995,0.536,0.828,1.152,0.751,0.64
