seed,base_sharpe,R2_sharpe,flat_sharpe,R2_minus_flat_sharpe,base_DD,R2_DD,flat_DD,R2_DD_vs_flat_pct,avg_scale
42,1.87,2.581,1.87,0.711,306.0,118.6,133.3,-11.0,0.435
123,1.752,2.408,1.752,0.655,302.2,117.6,130.6,-10.0,0.432
456,1.544,2.25,1.544,0.706,279.6,111.7,108.0,3.4,0.386
789,1.663,2.395,1.663,0.732,336.3,123.1,143.5,-14.2,0.427
1001,1.785,2.508,1.785,0.723,283.5,112.2,119.5,-6.1,0.422
