sub_period,n_full,n_hiconv,full_net,full_WR,hiconv_net,hiconv_WR
2021-01,534,314,247.17,0.506,95.39,0.497
2021-07,552,213,747.9,0.562,375.24,0.582
2022-01,543,162,145.14,0.449,-27.03,0.451
2022-07,552,117,-89.18,0.395,-16.14,0.393
2023-01,543,89,198.17,0.424,45.01,0.438
2023-07,552,106,38.42,0.46,102.78,0.604
2024-01,546,81,224.99,0.469,48.6,0.383
2024-07,552,60,-103.64,0.408,-31.5,0.417
2025-01,237,11,0.82,0.451,23.91,0.727
