gate,n,dir_acc,frac_short,model_minus_long_mean
UNGATED,4552,0.4947,0.349,-0.1867
TREND100 up,2483,0.5155,0.362,-0.0859
ADX>=25,2352,0.52,0.266,-0.1364
TREND100up & ADX>=25,1244,0.5185,0.267,-0.2874
ADX>=25 & fund z<0,1049,0.5491,0.205,-0.2155
