seed,sharpe_ann,wr,LONG_sharpe_ann,beats_long
42,1.0685,0.445,0.8075,True
123,1.2013,0.4476,0.8075,True
456,1.1569,0.4447,0.8075,True
789,1.3114,0.448,0.8075,True
1001,1.2049,0.4487,0.8075,True
2024,1.06,0.4456,0.8075,True
