gate,T1,T2,T3,thirds_pos,T1_wr,T2_wr,T3_wr,LONG_T1,LONG_T2,LONG_T3
UNGATED,0.348,0.911,-0.184,2/3,0.345,0.343,0.339,0.139,1.04,1.571
TREND100 up,1.002,1.318,-0.077,2/3,0.373,0.386,0.344,0.85,1.006,0.872
ADX>=25,1.173,1.264,-0.515,2/3,0.389,0.366,0.329,0.918,1.178,1.006
TREND100up & ADX>=25,0.871,1.676,-0.252,2/3,0.366,0.402,0.328,0.577,2.048,1.137
ADX>=25 & fund z<0,0.576,1.236,-0.0,2/3,0.387,0.396,0.362,0.655,1.404,0.575
