third,n,model_sharpe_ann,wr,dir_acc,LONG_sharpe_ann,model_beats_long
T1,1520,0.548,0.462,0.525,-0.189,True
T2,1520,0.727,0.43,0.502,0.629,True
T3,1520,0.631,0.443,0.5086,1.23,False
