,trend_adx_7,vol_garman_klass_10,vol_atr_5,vol_taker_buy_ratio,vol_taker_buy_ratio_sma_5,vol_mfi_7,mom_rsi_9,stat_autocorr_lag1,mr_pct_from_high_5,vol_cmf_10,ent_shannon_10,trend_adx_14,trend_supertrend_14_3,btc_funding_spread_30_90,funding_rate_zscore_30,stat_autocorr_lag5,vol_range_spike_72,mr_rsi_extreme_14,stat_kurtosis_20
trend_adx_7,1.0,0.2529526222953488,0.10352114110236241,0.028172870243053733,0.058822366851772306,0.04701551553586315,0.10659178156543865,0.1481922438226502,-0.13383032756196078,0.09527937484301617,-0.033713983698430684,0.7150682804038527,0.03141272872195187,-0.05292902704853468,0.03438061859440156,-0.03564370502665204,0.25897818317128835,-0.20652320192084853,0.08307404248229534
vol_garman_klass_10,0.2529526222953488,1.0,0.5400940534165894,0.018730134698949526,0.014198983930194874,-0.028535683980079437,-0.03889619648792667,0.12588355169619728,-0.4513718929107795,0.04118647684086455,-0.0075501992094180155,0.3077532095687017,-0.11112420440584432,-0.029295969403169222,-0.08947258191287018,-0.030291499162422707,0.2706430575257137,0.017713196733211336,-0.0642258117994035
vol_atr_5,0.10352114110236241,0.5400940534165894,1.0,-0.05778668634196931,-0.10783300548355884,-0.05559474407554961,-0.04734361094050547,-0.01318410278272455,-0.3047219031161972,-0.021553601573237383,0.045146074592990575,0.10152300289823016,-0.14904812862242292,0.02962295617743171,-0.05484636283018692,-0.0034118275908970423,0.2457622662729223,-0.0016869567421597426,-0.11293192497026858
vol_taker_buy_ratio,0.028172870243053733,0.018730134698949526,-0.05778668634196931,1.0,0.5516952844591776,0.20641758020280082,0.25919358354322675,0.016291293395199646,0.37439565053525775,0.14229659517022755,-0.0017395397777339875,0.017016890842649318,-0.02576737916234497,0.060576423571500615,-0.06925511627111,0.03522485371124453,-0.009801355139625137,-0.10560173760889649,-0.007318960872645261
vol_taker_buy_ratio_sma_5,0.058822366851772306,0.014198983930194874,-0.10783300548355884,0.5516952844591776,1.0,0.450211707715385,0.3794508679375636,0.017871773890208092,0.32781507099024165,0.2544478898290682,-0.031132629039818414,0.03119854973247621,0.034184627928727965,0.14524865856380734,0.0681649641629718,0.06780870930205556,-0.03793502576516011,-0.1833593224466343,-0.016043846812128445
vol_mfi_7,0.04701551553586315,-0.028535683980079437,-0.05559474407554961,0.20641758020280082,0.450211707715385,1.0,0.7462182403190779,0.01202935271248847,0.4115663031700052,0.4957183853148045,-0.0678923832881191,0.050191338023086424,0.33414847297994626,0.011321814605613174,0.15802775358468207,-0.003828135990361429,-0.04425053139797294,-0.4453337445434989,-0.03110787255157169
mom_rsi_9,0.10659178156543865,-0.03889619648792667,-0.04734361094050547,0.25919358354322675,0.3794508679375636,0.7462182403190779,1.0,0.002285580594749879,0.5206231742518594,0.6090636864288953,-0.06804341564951398,0.12914588396900606,0.5818950924444182,-0.08939488232298497,0.23137967123407566,-0.018524474861320014,-0.04383096529259388,-0.6094273669399695,-0.022678908266894577
stat_autocorr_lag1,0.1481922438226502,0.12588355169619728,-0.01318410278272455,0.016291293395199646,0.017871773890208092,0.01202935271248847,0.002285580594749879,1.0,-0.0775237213255356,0.018648771849165968,0.045174448660289364,0.13126777179861585,0.013263395173646199,-0.06502425857509285,0.007309818060422067,-0.11411069281525343,0.12698299851976885,-0.03210818762262561,-0.07277224228014832
mr_pct_from_high_5,-0.13383032756196078,-0.4513718929107795,-0.3047219031161972,0.37439565053525775,0.32781507099024165,0.4115663031700052,0.5206231742518594,-0.0775237213255356,1.0,0.3614461688515349,-0.011144632404507608,-0.10870288507486033,0.1590540034958936,-0.0021344542966949425,0.03185156612706825,0.0015947639935337064,-0.26386793964949196,-0.271792784657881,-0.002493244165439931
vol_cmf_10,0.09527937484301617,0.04118647684086455,-0.021553601573237383,0.14229659517022755,0.2544478898290682,0.4957183853148045,0.6090636864288953,0.018648771849165968,0.3614461688515349,1.0,-0.06284815735399607,0.09074274791789237,0.2863041892598903,-0.034803147837702914,0.10274386925057441,-0.04258559640334057,0.007500480880853669,-0.36515094042158047,-0.040393673472211726
