label_config,feature_set,n_valid,trades/mo,oracle_sharpe,oof_dir_acc,oof_score_ic,oof_SHARPE,win_rate,avg_win%,avg_loss%,payoff_w/l,mean_pnl%
tb_2.9/1.45_to21 (CURRENT/7d),LONG_prune(34),5726,91.32,50.98612881997028,0.476138353765324,-0.0361185122050146,-0.19975407244738752,0.476138353765324,4.699945098596741,-4.3327841247004155,1.0847401955253684,-0.03195530231177299
tb_2.9/1.45_to21 (CURRENT/7d),SHORT_pure(36),5726,91.32,50.98612881997028,0.46628721541155865,-0.059485973912432495,-0.26378758902146143,0.46628721541155865,4.788256057769246,-4.262406725515796,1.1233691118929567,-0.04219837866878718
tb_2.9/1.45_to21 (CURRENT/7d),HYBRID_short+regime(23),5726,91.32,50.98612881997028,0.4886164623467601,-0.019533364203688834,-0.19353532984567468,0.4886164623467601,4.580937592950618,-4.437534371742392,1.0323159685525813,-0.030960504580658934
tb_2.9/1.45_to42 (14d),LONG_prune(34),5726,91.32,54.47147917511581,0.47591943957968474,-0.026697155461918642,0.8667774516586657,0.47591943957968474,5.474969238966453,-4.679741928232004,1.169929736068776,0.15308251955465252
tb_2.9/1.45_to42 (14d),SHORT_pure(36),5726,91.32,54.47147917511581,0.4630035026269702,-0.060684168426461134,0.14317384641859332,0.4630035026269702,5.489699923073577,-4.686167943090041,1.1714688824092143,0.025294521212947493
tb_2.9/1.45_to42 (14d),HYBRID_short+regime(23),5726,91.32,54.47147917511581,0.5122591943957968,0.029755738510404268,0.6597341279405539,0.5122591943957968,5.050899317295582,-5.065880116350459,0.9970428042687932,0.11653316620902791
tb_2.9/1.45_to63 (21d),LONG_prune(34),5726,91.32,53.3454925004455,0.46409807355516636,-0.06710776600671153,0.4072928582104423,0.46409807355516636,5.649473475539392,-4.755676808731619,1.1879431052099096,0.07333339325054943
tb_2.9/1.45_to63 (21d),SHORT_pure(36),5726,91.32,53.3454925004455,0.45928196147110334,-0.03342545813235268,-0.07077243540792845,0.45928196147110334,5.615006668719508,-4.792913605240885,1.1715226125878198,-0.012743566981492467
tb_2.9/1.45_to63 (21d),HYBRID_short+regime(23),5726,91.32,53.3454925004455,0.4940893169877408,-0.0055840534848000745,0.5118624154495984,0.4940893169877408,5.325599158415563,-5.01899753153379,1.0610882202980634,0.09215718151692981
"tb_4.0/1.45_to42 (wide-tp,14d)",LONG_prune(34),5726,91.32,46.28187125000443,0.4603765323992995,-0.07803464705144868,0.728072101538885,0.4603765323992995,6.076860849434609,-4.910812610944937,1.2374450688447876,0.14765439588040966
"tb_4.0/1.45_to42 (wide-tp,14d)",SHORT_pure(36),5726,91.32,46.28187125000443,0.42972854640980734,-0.11406366068093873,-0.46886122287949256,0.42972854640980734,6.227808812909497,-4.859732342648335,1.2815127200021106,-0.09509939861155196
"tb_4.0/1.45_to42 (wide-tp,14d)",HYBRID_short+regime(23),5726,91.32,46.28187125000443,0.4785464098073555,-0.017673175206078084,0.06558474681387479,0.4785464098073555,5.705755643339051,-5.210751308144873,1.094996730014814,0.013303901124797428
"tb_4.0/2.0_to42 (wide2:1,14d)",LONG_prune(34),5726,91.32,52.700552790417255,0.48095446584938706,-0.0135586806061444,0.7672620981346336,0.48095446584938706,6.770019811321088,-5.9384076239528625,1.140039593108071,0.1737673049650162
"tb_4.0/2.0_to42 (wide2:1,14d)",SHORT_pure(36),5726,91.32,52.700552790417255,0.4433012259194396,-0.0830170251662209,-1.2355342271991117,0.4433012259194396,6.833586564143792,-5.944036653351745,1.1496541765586934,-0.27970061669927915
"tb_4.0/2.0_to42 (wide2:1,14d)",HYBRID_short+regime(23),5726,91.32,52.700552790417255,0.4903677758318739,-0.015445625915960465,0.41876423458080114,0.4903677758318739,6.5596007059780606,-6.125512208107308,1.0708656652901978,0.09485839774891405
"tb_5.0/1.75_to63 (wide,21d)",LONG_prune(34),5726,91.32,43.99666810114153,0.45140105078809106,-0.09521980422419574,1.121379984553671,0.45140105078809106,7.550299787483456,-5.708115403509716,1.3227307532782269,0.2767471454893913
"tb_5.0/1.75_to63 (wide,21d)",SHORT_pure(36),5726,91.32,43.99666810114153,0.44395796847635727,-0.12139626612370104,-0.4135927231230135,0.44395796847635727,7.250188127811396,-5.972391275505795,1.213950626032516,-0.1021217855917706
"tb_5.0/1.75_to63 (wide,21d)",HYBRID_short+regime(23),5726,91.32,43.99666810114153,0.44877408056042034,-0.1270270472672841,0.2629304603758353,0.44877408056042034,7.358494904943909,-5.873050360544568,1.2529255588166974,0.0649242003686049
"tb_6.0/2.0_to63 (wide3:1,21d)",LONG_prune(34),5726,91.32,43.536935724452725,0.47373029772329245,-0.052522450944020714,1.6660648063534145,0.47373029772329245,7.920929021794008,-6.2836757089276825,1.2605566214278305,0.44547591919879237
"tb_6.0/2.0_to63 (wide3:1,21d)",SHORT_pure(36),5726,91.32,43.536935724452725,0.45884413309982486,-0.11181005239962763,-0.8145793467769163,0.45884413309982486,7.454904699001897,-6.723853785726701,1.1087249866775897,-0.2180136403696206
"tb_6.0/2.0_to63 (wide3:1,21d)",HYBRID_short+regime(23),5726,91.32,43.536935724452725,0.4724168126094571,-0.0848753919826826,-0.21224992668085624,0.4724168126094571,7.411325676664612,-6.744068878498816,1.0989397958690958,-0.056822501519245554
fh_N9 (3d),LONG_prune(34),5718,91.19241355221794,33.485365336792555,0.5109649122807017,0.023382254814315225,1.5199406152186674,0.5109649122807017,4.092425754993062,-3.7676178756913705,1.0862104093404346,0.24858862858378983
fh_N9 (3d),SHORT_pure(36),5718,91.19241355221794,33.485365336792555,0.5037280701754386,0.0242144116460779,1.3184285384587053,0.5037280701754386,4.118561929208516,-3.745825506201338,1.099507150664146,0.2156871997496348
fh_N9 (3d),HYBRID_short+regime(23),5718,91.19241355221794,33.485365336792555,0.5142543859649122,0.04803427044670518,1.5909466875784806,0.5142543859649122,4.077514001740781,-3.781205208958672,1.0783635842032786,0.26017561321023547
fh_N21 (7d),LONG_prune(34),5706,91.00103388054488,33.68631215894709,0.5162565905096661,-0.003028568443319058,0.514606146876087,0.5162565905096661,6.049355901180789,-6.183050223401947,0.9783772867127709,0.13201005620469428
fh_N21 (7d),SHORT_pure(36),5706,91.00103388054488,33.68631215894709,0.49011423550087874,-0.04255329851045345,-0.19074940664179266,0.49011423550087874,6.187427188088987,-6.0434782003788925,1.0238188974854032,-0.04893735642637922
fh_N21 (7d),HYBRID_short+regime(23),5706,91.00103388054488,33.68631215894709,0.4934094903339192,0.006691011337978372,0.9103054544760153,0.4934094903339192,6.432270862976313,-5.804068777736836,1.1082347762054656,0.2334573279401702
fh_N42 (14d),LONG_prune(34),5685,90.66611945511701,34.241203823695166,0.5037477954144621,-0.0524840328061441,0.7509600190863581,0.5037477954144621,9.102225242951592,-8.67738156948692,1.0489598930348516,0.2790561656149322
fh_N42 (14d),SHORT_pure(36),5685,90.66611945511701,34.241203823695166,0.46847442680776014,-0.10995525543912336,-1.6320614759623207,0.46847442680776014,8.843068374401133,-8.933990168999188,0.9898229354545798,-0.6058928575517271
fh_N42 (14d),HYBRID_short+regime(23),5685,90.66611945511701,34.241203823695166,0.4794973544973545,-0.07753922635862519,-0.3227159105395139,0.4794973544973545,9.146504575585325,-8.656384219043355,1.0566195242886451,-0.11994613960830681
