feature,ic_h9_3d,ic_h21_7d,nan%
trend_adx_7,0.06311633856326256,0.11124394484721609,0.10476689366160294
vol_garman_klass_10,0.0534611046015277,0.05152401855168242,0.1571503404924044
vol_atr_5,-0.030392599241641113,-0.06341632223442419,0.06984459577440195
vol_taker_buy_ratio,0.04977551476796513,0.032693980342086336,0.0
vol_taker_buy_ratio_sma_5,0.0736858396607993,0.04716630564204791,0.06984459577440195
vol_mfi_7,0.044837398075882086,0.016046333605592513,0.12222804260520342
mom_rsi_9,0.025139916985046373,0.011460520946761473,0.01746114894360049
stat_autocorr_lag1,0.026673787687936115,0.02376302154391257,0.8730574471800244
mr_pct_from_high_5,-0.023386371659433133,-0.03700558804223518,0.06984459577440195
vol_cmf_10,-0.025468068132176815,-0.0019954064198965415,0.1571503404924044
ent_shannon_10,0.009681492567217018,0.029633222920250543,0.17461148943600488
trend_adx_14,0.08771551593407442,0.12053798093776248,0.22699493626680634
trend_supertrend_14_3,0.05674574778316891,0.0790452454399988,0.24445608521040685
btc_funding_spread_30_90,-0.06989414685718652,-0.10529662214178363,2.6540946394272744
funding_rate_zscore_30,-0.05198340151651405,-0.05312346105778848,1.6064257028112447
stat_autocorr_lag5,0.01726284953715704,0.07793566814004728,0.8730574471800244
vol_range_spike_72,0.03658094982787732,0.05203149968075088,1.2397415749956346
mr_rsi_extreme_14,-0.06522424633919188,-0.06216759940243633,0.0
stat_kurtosis_20,-0.0458297992354437,-0.043465653487807974,0.34922297887200976
