,max_dd_window_50,vwap_dev_50,ema_spread_atr_20,ret_kurt_50,ret_skew_200,range_realized_vol_50,hurst_diff_100_50,ret_kurt_200,hurst_100,btc_ret_14d,ret_skew_50,vwap_dev_20,ret_autocorr_lag1_50,sym_vs_btc_ret_7d
max_dd_window_50,1.0,0.3225143650580475,0.4765592165233906,0.006231147216473649,0.0019394485444497133,-0.6601547513516433,-0.06585902455644455,-0.005388070400456258,-0.17719484003674563,0.3653548486261337,0.1268384371394859,0.1411236763298491,-0.12188099490462055,0.12872193343829072
vwap_dev_50,0.3225143650580475,1.0,0.874624212754031,-0.06057667442362241,0.03426360135204937,-0.06317972266303118,0.0004542189611221985,-0.0111036236318144,0.014734335559297358,0.4809234588260508,0.2743959512049499,0.7938428667558197,-0.016521800125552336,0.5265402859108259
ema_spread_atr_20,0.4765592165233906,0.874624212754031,1.0,-0.012664799230232754,0.11747441108554575,-0.03720733940701184,-0.01038169100100847,0.021350251040356732,0.017224323189531647,0.5075208592366603,0.3889595174494248,0.5472651313887698,0.011038660386547574,0.5070218213475454
ret_kurt_50,0.006231147216473649,-0.06057667442362241,-0.012664799230232754,1.0,0.11798077670819505,0.08623267624352572,-0.019467244030615886,0.30796606279592903,-0.1174109069960134,-0.055876474524683306,0.12950817234070283,-0.03751158559907978,0.0643054739987267,0.043543858393800795
ret_skew_200,0.0019394485444497133,0.03426360135204937,0.11747441108554575,0.11798077670819505,1.0,0.11729616326315853,0.02755286284769516,0.5925207682655798,0.07240366571412077,0.04848657637351578,0.3768086650181977,0.012028080396441663,0.061208021527140326,0.10641331174026884
range_realized_vol_50,-0.6601547513516433,-0.06317972266303118,-0.03720733940701184,0.08623267624352572,0.11729616326315853,1.0,0.021528180547052717,-0.02184612372382674,0.1406212871056196,-0.19701478300801,0.09050862974734876,-0.04230709030810063,0.11715614281686194,0.09292139653180166
hurst_diff_100_50,-0.06585902455644455,0.0004542189611221985,-0.01038169100100847,-0.019467244030615886,0.02755286284769516,0.021528180547052717,1.0,0.0040840884372737515,0.49292535879900284,-0.05408137779471706,0.027558251899628877,-0.014871062787915768,-0.011836323226778174,0.03731434851511368
ret_kurt_200,-0.005388070400456258,-0.0111036236318144,0.021350251040356732,0.30796606279592903,0.5925207682655798,-0.02184612372382674,0.0040840884372737515,1.0,-0.019287611143511952,-0.008561948723569116,0.10845132463542975,-0.004050506006548364,0.03441935260508258,0.03823318132276711
hurst_100,-0.17719484003674563,0.014734335559297358,0.017224323189531647,-0.1174109069960134,0.07240366571412077,0.1406212871056196,0.49292535879900284,-0.019287611143511952,1.0,-0.07571270389053834,0.0738889738898256,0.013640224548237753,-0.014465675135266644,0.048163760562523514
btc_ret_14d,0.3653548486261337,0.4809234588260508,0.5075208592366603,-0.055876474524683306,0.04848657637351578,-0.19701478300801,-0.05408137779471706,-0.008561948723569116,-0.07571270389053834,1.0,0.22564025001510243,0.28191906508938835,-0.11203725369540157,-0.06360536045922853
ret_skew_50,0.1268384371394859,0.2743959512049499,0.3889595174494248,0.12950817234070283,0.3768086650181977,0.09050862974734876,0.027558251899628877,0.10845132463542975,0.0738889738898256,0.22564025001510243,1.0,0.14524700706839758,0.0239451801895588,0.2095352890363101
vwap_dev_20,0.1411236763298491,0.7938428667558197,0.5472651313887698,-0.03751158559907978,0.012028080396441663,-0.04230709030810063,-0.014871062787915768,-0.004050506006548364,0.013640224548237753,0.28191906508938835,0.14524700706839758,1.0,0.018027533525876407,0.47362133740057333
ret_autocorr_lag1_50,-0.12188099490462055,-0.016521800125552336,0.011038660386547574,0.0643054739987267,0.061208021527140326,0.11715614281686194,-0.011836323226778174,0.03441935260508258,-0.014465675135266644,-0.11203725369540157,0.0239451801895588,0.018027533525876407,1.0,0.09235723564744176
sym_vs_btc_ret_7d,0.12872193343829072,0.5265402859108259,0.5070218213475454,0.043543858393800795,0.10641331174026884,0.09292139653180166,0.03731434851511368,0.03823318132276711,0.048163760562523514,-0.06360536045922853,0.2095352890363101,0.47362133740057333,0.09235723564744176,1.0
