symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
BCHUSDT,2022-01,10,1825,45,10,0.277,6,0.026343,
BCHUSDT,2022-02,10,1825,45,10,0.0,7,0.013514,
BCHUSDT,2022-03,10,1825,45,10,0.0,7,-0.015471,
BCHUSDT,2022-04,10,1825,45,10,0.0,7,0.045924,
BCHUSDT,2022-05,10,1825,45,10,0.0,7,0.004293,
BCHUSDT,2022-06,10,1825,45,10,0.0,7,-0.055679,
BCHUSDT,2022-07,10,1825,45,10,0.0,6,-0.065604,
BCHUSDT,2022-08,10,1825,45,10,0.0,8,-0.009062,
BCHUSDT,2022-09,10,1825,45,10,0.7592,7,-0.028157,
BCHUSDT,2022-10,10,1825,45,10,0.0,7,-0.003854,
BCHUSDT,2022-11,10,1825,45,10,0.0,7,-0.053806,
BCHUSDT,2022-12,10,1825,45,10,0.2586,7,-0.052631,
BCHUSDT,2023-01,10,1825,45,10,0.006,8,-0.073132,
BCHUSDT,2023-02,10,1825,45,10,0.0,8,-0.039132,
BCHUSDT,2023-03,10,1825,45,10,0.0,7,-0.114424,
BCHUSDT,2023-04,10,1825,45,10,0.436,8,-0.050783,
BCHUSDT,2023-05,10,1825,45,10,0.766,8,-0.042309,
BCHUSDT,2023-06,10,1825,45,10,0.4224,8,-0.023492,
BCHUSDT,2023-07,10,1825,45,10,0.0,8,-0.125309,
BCHUSDT,2023-08,10,1825,45,10,0.7948,7,-0.074608,
BCHUSDT,2023-09,10,1825,45,10,0.0,7,0.03265,
BCHUSDT,2023-10,10,1825,45,10,0.0,8,0.024099,
BCHUSDT,2023-11,10,1825,45,10,0.9998,7,0.015047,
BCHUSDT,2023-12,10,1825,45,10,0.99,7,0.011484,
BCHUSDT,2024-01,10,1825,45,10,0.0036,8,-0.037182,
BCHUSDT,2024-02,10,1825,45,10,0.0,7,0.012669,
BCHUSDT,2024-03,10,1825,45,10,0.0,7,-0.020861,
BCHUSDT,2024-04,10,1825,45,10,0.004,7,-0.025,
BCHUSDT,2024-05,10,1825,45,10,0.0,8,-0.050422,
BCHUSDT,2024-06,10,1825,45,10,0.0,8,-0.029175,
BCHUSDT,2024-07,10,1825,45,10,0.4896,8,-4.7e-05,
BCHUSDT,2024-08,10,1825,45,10,0.3198,8,0.015146,
BCHUSDT,2024-09,10,1825,45,10,0.0,8,0.004856,
BCHUSDT,2024-10,10,1825,45,10,0.3734,8,0.00484,
BCHUSDT,2024-11,10,1825,45,10,0.0,8,0.00024,
BCHUSDT,2024-12,10,1825,45,10,0.5104,8,-0.025737,
BCHUSDT,2025-01,10,1825,45,10,0.0,8,-0.034123,
BCHUSDT,2025-02,10,1825,45,10,0.0,8,-0.002049,
BCHUSDT,2025-03,10,1825,45,10,0.8974,8,-0.025991,
BCHUSDT,2025-04,10,1801,45,10,0.0,8,-0.08674,
BCHUSDT,2025-05,10,1711,45,10,0.0,8,-0.061804,
BCHUSDT,2025-06,10,1618,45,10,0.0,7,-0.039008,
BCHUSDT,2025-07,10,1528,45,10,0.0,7,-0.049169,
BCHUSDT,2025-08,10,1435,45,10,0.0,7,-0.05542,
BCHUSDT,2025-09,10,1342,45,10,0.0,8,-0.01192,
