symbol,direction,open_time,close_time,net_pnl_pct,weighted_pnl,is_win,entry_maha,cum_wpnl,dd_from_peak
BCHUSDT,1,1643587199999,1643846399999,-4.6185,-1.7088,False,2.580946870044419,-1.7088,0.0
BCHUSDT,-1,1644479999999,1644508799999,-3.606,0.0,False,3.1278184313797275,-1.7088,0.0
TRXUSDT,-1,1644652799999,1644854399999,-3.2616,-1.2394,False,4.981903226372371,-2.9482,1.2393999999999998
BCHUSDT,-1,1644767999999,1645142399999,7.3492,3.8216,True,2.9916802672903806,0.8734000000000002,0.0
BCHUSDT,1,1645516799999,1645631999999,8.2897,0.0,True,3.2717317268054162,0.8734000000000002,0.0
BCHUSDT,-1,1645775999999,1645833599999,-4.6831,-4.1211,False,3.1000246047949873,-3.2477,4.1211
TRXUSDT,-1,1645833599999,1646121599999,-3.9766,-3.5392,False,2.693565030802112,-6.7869,7.6603
TRXUSDT,-1,1646351999999,1646812799999,-3.4944,-1.9219,False,2.3350300647470097,-8.7088,9.5822
BCHUSDT,-1,1648022399999,1648425599999,-3.5706,-2.8207,False,4.218411475648368,-11.5295,12.4029
TRXUSDT,-1,1648540799999,1648598399999,4.4729,0.0,True,4.080171987193709,-11.5295,12.4029
BCHUSDT,-1,1648569599999,1648655999999,-3.489,0.0,False,3.2431134836886586,-11.5295,12.4029
TRXUSDT,-1,1648742399999,1649087999999,5.8379,5.3125,True,3.356924514000954,-6.2170000000000005,7.090400000000001
BCHUSDT,-1,1649030399999,1649231999999,6.6817,4.2763,True,2.6862420499264497,-1.9407000000000005,2.8141000000000007
BCHUSDT,-1,1649433599999,1649692799999,7.2967,3.7943,True,3.4222223759677437,1.8535999999999992,0.0
BCHUSDT,-1,1650326399999,1650585599999,6.6651,2.3328,True,5.280273868891144,4.186399999999999,0.0
TRXUSDT,-1,1651478399999,1651507199999,6.8988,6.8988,True,5.662433521348326,11.085199999999999,0.0
BCHUSDT,1,1652198399999,1652227199999,-5.2249,0.0,False,3.4487965627017676,11.085199999999999,0.0
BCHUSDT,-1,1658591999999,1658649599999,-4.5239,-1.5834,False,3.358471451606413,9.5018,1.5833999999999993
BCHUSDT,-1,1658793599999,1658966399999,-4.9048,-2.0109,False,2.896155076485998,7.4909,3.5942999999999987
BCHUSDT,-1,1659110399999,1659311999999,9.3929,0.0,True,3.063619953678054,7.4909,3.5942999999999987
BCHUSDT,1,1659455999999,1660060800000,0.3233,0.2069,True,3.437359846035081,7.6978,3.3873999999999986
BCHUSDT,1,1661068799999,1661270399999,8.7038,2.8723,True,3.375696532186754,10.5701,0.5150999999999986
BCHUSDT,1,1661414399999,1661500799999,-4.0514,-1.7016,False,2.6237082412467303,8.868500000000001,2.2166999999999977
BCHUSDT,1,1661644799999,1662249600000,2.1585,0.0,True,3.5489952433456486,8.868500000000001,2.2166999999999977
BCHUSDT,-1,1662710399999,1662739199999,-3.8725,-2.0137,False,2.477229801343672,6.854800000000001,4.230399999999998
BCHUSDT,-1,1663977599999,1664351999999,7.9484,3.0204,True,2.862517044200477,9.875200000000001,1.2099999999999973
TRXUSDT,-1,1665619199999,1665676799999,3.5315,2.3308,True,3.2693477305130934,12.206000000000001,0.0
BCHUSDT,-1,1667404799999,1667462399999,-2.587,-0.9572,False,2.763159997435678,11.248800000000001,0.9572000000000003
BCHUSDT,-1,1667606399999,1667779199999,5.5723,3.009,True,3.4061280072717848,14.257800000000001,0.0
BCHUSDT,-1,1667951999999,1668038399999,9.1898,9.1898,True,3.865194692154184,23.4476,0.0
BCHUSDT,1,1668383999999,1668988800000,5.0975,0.0,True,2.275327018545015,23.4476,0.0
TRXUSDT,1,1668441599999,1669046400000,4.0616,0.0,True,3.211902066206538,23.4476,0.0
TRXUSDT,1,1669190399999,1669795200000,4.7312,3.8323,True,2.824583218126234,27.2799,0.0
BCHUSDT,-1,1669247999999,1669622399999,6.931,4.5744,True,2.8158131031551408,31.854300000000002,0.0
BCHUSDT,-1,1673510399999,1673539199999,-1.9569,-0.6653,False,3.7564048245528143,31.189000000000004,0.6652999999999984
TRXUSDT,-1,1673798399999,1674086399999,5.1323,0.0,True,4.535988360593085,31.189000000000004,0.6652999999999984
BCHUSDT,-1,1673942399999,1674086399999,6.3211,0.0,True,4.576165033700599,31.189000000000004,0.6652999999999984
BCHUSDT,-1,1674230399999,1674259199999,-3.2055,0.0,False,3.7654821679471877,31.189000000000004,0.6652999999999984
BCHUSDT,-1,1674604799999,1674691199999,-3.5062,0.0,False,3.5485941911602015,31.189000000000004,0.6652999999999984
TRXUSDT,-1,1674604799999,1674691199999,-2.6144,0.0,False,3.971007663396932,31.189000000000004,0.6652999999999984
TRXUSDT,-1,1674835199999,1674863999999,-2.4662,0.0,False,3.0982639605485804,31.189000000000004,0.6652999999999984
BCHUSDT,-1,1674835199999,1675324799999,-3.2647,0.0,False,3.0375926176552572,31.189000000000004,0.6652999999999984
TRXUSDT,-1,1675065599999,1675382399999,-2.3552,-1.7429,False,3.005896135220495,29.446100000000005,2.4081999999999972
TRXUSDT,-1,1675612799999,1675814399999,-2.2441,-1.4811,False,3.0355132129574494,27.965000000000003,3.8892999999999986
TRXUSDT,-1,1675958399999,1675987199999,5.0109,4.8606,True,2.89342702109617,32.8256,0.0
BCHUSDT,1,1676073599999,1676303999999,-3.3687,-2.695,False,2.4768440843899353,30.1306,2.6950000000000003
TRXUSDT,-1,1676361599999,1676447999999,-2.4841,-2.186,False,3.6154650298166713,27.9446,4.881
TRXUSDT,-1,1676649599999,1676678399999,-2.5615,-2.4591,False,3.31770566172128,25.485500000000002,7.3401
BCHUSDT,-1,1676735999999,1676822399999,-2.8867,-1.8475,False,3.0590419931828956,23.638,9.1876
TRXUSDT,-1,1676822399999,1676879999999,-2.36,-2.006,False,3.6092584770630007,21.632,11.1936
BCHUSDT,-1,1676995199999,1677254399999,6.6833,6.6833,True,3.6482023398070464,28.3153,4.510300000000001
TRXUSDT,-1,1677023999999,1677628800000,0.5479,0.4602,True,4.055553056930423,28.7755,4.0501000000000005
BCHUSDT,1,1677398399999,1677830399999,-3.426,-2.7065,False,3.8364315372059163,26.069000000000003,6.756599999999999
BCHUSDT,1,1678463999999,1678665599999,6.8908,3.5832,True,3.3210285536234694,29.652200000000004,3.1733999999999973
TRXUSDT,-1,1678780799999,1678809599999,-3.1635,-3.1002,False,5.451651331994758,26.552000000000003,6.273599999999998
TRXUSDT,-1,1678953599999,1679097599999,-3.246,-3.0837,False,5.0875650751663954,23.468300000000003,9.357299999999999
BCHUSDT,1,1679011199999,1679097599999,6.9571,5.7744,True,2.557761946717354,29.242700000000003,3.5828999999999986
BCHUSDT,1,1679241599999,1679356799999,-3.3696,-2.4598,False,3.507113337456438,26.7829,6.0427
BCHUSDT,1,1679500799999,1679529599999,-3.5622,-3.0279,False,3.1446455056589273,23.755000000000003,9.070599999999999
BCHUSDT,1,1679990399999,1680537599999,6.7999,2.788,True,2.8950636988950236,26.543000000000003,6.282599999999999
TRXUSDT,-1,1683935999999,1684166399999,-1.7122,-0.9075,False,4.0322178374744295,25.635500000000004,7.1900999999999975
TRXUSDT,1,1686441599999,1687046400000,2.8924,2.8635,True,4.077876365698926,28.499000000000002,4.326599999999999
TRXUSDT,-1,1688659199999,1688745599999,-1.7183,-0.6873,False,3.820124870567192,27.811700000000002,5.0139
TRXUSDT,-1,1688918399999,1689004799999,3.0256,1.059,True,3.707517224298951,28.870700000000003,3.9548999999999985
TRXUSDT,-1,1689407999999,1690012799999,-1.7672,-1.2017,False,2.7404043187062004,27.669000000000004,5.156599999999997
BCHUSDT,-1,1693411199999,1693468799999,-3.594,-1.7251,False,3.6612305553946274,25.943900000000003,6.881699999999999
TRXUSDT,-1,1694707199999,1694764799999,-1.4327,-0.9743,False,5.038309442874152,24.969600000000003,7.855999999999998
BCHUSDT,-1,1694793599999,1694851199999,-3.4392,-2.1667,False,2.490230229601467,22.802900000000005,10.022699999999997
BCHUSDT,-1,1695340799999,1695743999999,-3.2799,-1.1152,False,3.20881523027611,21.687700000000003,11.137899999999998
BCHUSDT,-1,1695945599999,1696262399999,-3.0445,-2.2529,False,3.0179204446744134,19.434800000000003,13.390799999999999
TRXUSDT,1,1696694399999,1696867199999,-1.4339,-1.2762,False,2.495764902033353,18.158600000000003,14.666999999999998
TRXUSDT,1,1697011199999,1697126399999,-1.3691,-1.0679,False,2.2925943465067165,17.090700000000002,15.7349
BCHUSDT,1,1697039999999,1697443199999,6.3918,3.132,True,2.160437047488106,20.222700000000003,12.602899999999998
TRXUSDT,-1,1697817599999,1698105599999,-1.2138,-0.704,False,3.996303908983704,19.518700000000003,13.306899999999999
BCHUSDT,-1,1698134399999,1698451199999,6.3925,0.0,True,3.5461996034237746,19.518700000000003,13.306899999999999
TRXUSDT,-1,1698249599999,1698623999999,-1.3987,0.0,False,4.616116004771902,19.518700000000003,13.306899999999999
TRXUSDT,-1,1698767999999,1698796799999,-1.3019,0.0,False,3.327167415143754,19.518700000000003,13.306899999999999
TRXUSDT,1,1699055999999,1699372799999,-1.4539,-1.4394,False,3.5097047212707952,18.079300000000003,14.746299999999998
TRXUSDT,1,1699516799999,1699574399999,-1.4478,-1.4333,False,2.91716947551005,16.646000000000004,16.179599999999997
TRXUSDT,1,1700006399999,1700582399999,-2.1637,-2.0988,False,3.8097872253757044,14.547200000000004,18.278399999999998
BCHUSDT,1,1700179199999,1700236799999,-3.4137,-2.4237,False,2.7471933191885873,12.123500000000003,20.702099999999998
TRXUSDT,1,1700726399999,1700899199999,3.9553,3.5598,True,1.8545794424177937,15.683300000000003,17.1423
TRXUSDT,1,1701071999999,1701100799999,-1.8598,-1.4692,False,2.993579612342072,14.214100000000002,18.6115
BCHUSDT,1,1701993599999,1702137599999,6.0257,5.0013,True,3.7651769149648207,19.215400000000002,13.610199999999999
TRXUSDT,1,1702310399999,1702339199999,-1.9804,-1.7626,False,3.0916170968420738,17.452800000000003,15.372799999999998
TRXUSDT,1,1702483199999,1702684799999,-1.9275,-1.5227,False,3.585885676942097,15.930100000000003,16.8955
BCHUSDT,-1,1702771199999,1703260799999,-3.2855,-1.3799,False,3.3080095920432724,14.550200000000004,18.275399999999998
TRXUSDT,1,1702828799999,1702886399999,-1.7702,-1.0975,False,2.770509807995613,13.452700000000004,19.372899999999998
TRXUSDT,1,1703030399999,1703174399999,3.2747,1.8338,True,2.7597670211907377,15.286500000000004,17.539099999999998
TRXUSDT,1,1703692799999,1704067199999,3.1551,1.9246,True,2.7170471416618547,17.211100000000005,15.614499999999996
BCHUSDT,-1,1703894399999,1703923199999,-4.0338,-4.0338,False,3.0645544974166308,13.177300000000006,19.648299999999995
BCHUSDT,-1,1704067199999,1704182399999,-4.4386,-4.3499,False,3.348435490788228,8.827400000000006,23.998199999999997
BCHUSDT,1,1704326399999,1704700799999,-5.461,-5.4064,False,3.798582120031091,3.4210000000000065,29.404599999999995
TRXUSDT,1,1704556799999,1704700799999,-1.9541,-1.5633,False,2.479483622960434,1.8577000000000066,30.967899999999993
BCHUSDT,1,1704873599999,1704988799999,8.7701,7.4546,True,3.178353680560573,9.312300000000008,23.513299999999994
BCHUSDT,-1,1705132799999,1705651199999,10.7593,10.6517,True,2.6982880995655334,19.964000000000006,12.861599999999996
TRXUSDT,-1,1706342399999,1706457599999,3.0074,1.2631,True,3.468785619103235,21.227100000000007,11.598499999999994
TRXUSDT,-1,1706860799999,1707119999999,-1.5723,-0.7233,False,3.6748459413925385,20.503800000000005,12.321799999999996
TRXUSDT,-1,1707263999999,1707292799999,-1.6752,-1.3904,False,3.038192023095101,19.113400000000006,13.712199999999996
TRXUSDT,-1,1707436799999,1707551999999,-1.9068,-1.7734,False,2.696883153202996,17.340000000000007,15.485599999999994
TRXUSDT,-1,1707695999999,1707811199999,-1.5077,-0.5428,False,3.2449730887517316,16.797200000000007,16.028399999999994
BCHUSDT,-1,1708099199999,1708444799999,6.1539,0.0,True,3.2556687048712063,16.797200000000007,16.028399999999994
BCHUSDT,-1,1708761599999,1708991999999,-2.9345,-1.3205,False,2.8378187126063636,15.476700000000008,17.348899999999993
BCHUSDT,-1,1709135999999,1709164799999,-3.2156,0.0,False,2.9695002265938175,15.476700000000008,17.348899999999993
TRXUSDT,1,1709279999999,1709452799999,-1.3598,-0.9382,False,4.435789304445378,14.538500000000008,18.287099999999995
BCHUSDT,-1,1709308799999,1709366399999,-4.1831,0.0,False,3.260616784482182,14.538500000000008,18.287099999999995
TRXUSDT,1,1709683199999,1710115199999,-1.4737,-1.1347,False,4.525294022465607,13.403800000000007,19.421799999999994
TRXUSDT,1,1710431999999,1710489599999,-1.388,-0.5413,False,4.253064487188793,12.862500000000008,19.963099999999994
TRXUSDT,1,1711123199999,1711151999999,-2.543,-2.4921,False,3.162813539548972,10.370400000000007,22.455199999999994
TRXUSDT,1,1711295999999,1711900800000,3.2758,3.112,True,3.1523281752915864,13.482400000000007,19.343199999999996
BCHUSDT,1,1712246399999,1712303999999,11.8429,11.8429,True,3.535392524848683,25.325300000000006,7.500299999999996
BCHUSDT,-1,1712591999999,1712764799999,10.59,9.531,True,3.8642946666840516,34.856300000000005,0.0
BCHUSDT,-1,1712908799999,1712966399999,10.4173,7.7088,True,4.19776009755013,42.5651,0.0
TRXUSDT,1,1712995199999,1713052799999,-2.0096,-1.7282,False,3.23347165564268,40.8369,1.728200000000001
BCHUSDT,1,1713167999999,1713196799999,-7.127,-6.8419,False,3.3621015743760236,33.995,8.570100000000004
BCHUSDT,1,1713398399999,1714003200000,3.254,2.7333,True,3.1590186135132523,36.7283,5.836800000000004
TRXUSDT,1,1714406399999,1714636799999,3.1112,1.9912,True,2.9115587392222397,38.7195,3.8456000000000046
TRXUSDT,1,1715385599999,1715644799999,-1.4845,-0.7126,False,3.2822141921760823,38.006899999999995,4.5582000000000065
BCHUSDT,-1,1716508799999,1717113600000,5.1934,1.8177,True,2.2775992959923324,39.8246,2.7405000000000044
BCHUSDT,1,1718236799999,1718294399999,-3.2754,-1.0809,False,2.0245442248878125,38.7437,3.821400000000004
BCHUSDT,1,1718697599999,1718726399999,-3.9551,-2.0566,False,2.5360518368531015,36.687099999999994,5.878000000000007
BCHUSDT,1,1718870399999,1718985599999,-3.8096,-1.5619,False,2.4258211928372484,35.12519999999999,7.439900000000009
