month,n_trades,win_rate,net_pnl_pct,weighted_pnl,trade_sharpe,bch_wpnl,trx_wpnl,ldo_wpnl
2022-01,1,0.0,-4.6185,-1.7088,,-1.7088,0.0,0.0
2022-02,6,0.3333333333333333,0.11160000000000059,-5.0781,-0.2942965791064169,-0.2995000000000001,-4.7786,0.0
2022-03,5,0.4,-0.24319999999999986,0.5699000000000005,0.0361305729234902,-2.8207,3.3906,0.0
2022-04,3,1.0,20.6435,10.4034,3.426502941318474,10.4034,0.0,0.0
2022-05,2,0.5,1.6738999999999997,6.8988,0.7071067811865475,0.0,6.8988,0.0
2022-07,3,0.3333333333333333,-0.035800000000000054,-3.5942999999999996,-1.130951676816832,-3.5942999999999996,0.0,0.0
2022-08,4,0.75,7.134199999999999,1.3776000000000002,0.18224252847344496,1.3776000000000002,0.0,0.0
2022-09,2,0.5,4.075900000000001,1.0067,0.1414045006298042,1.0067,0.0,0.0
2022-10,1,1.0,3.5315,2.3308,,0.0,2.3308,0.0
2022-11,7,0.8571428571428571,32.9964,19.6483,0.7945280968960902,15.815999999999999,3.8323,0.0
2023-01,9,0.2222222222222222,-7.915699999999999,-2.4082,-0.4494136240864997,-0.6653,-1.7429,0.0
2023-02,10,0.3,-7.089,-3.3770999999999995,-0.10011472943841836,-0.5656999999999996,-2.8114,0.0
2023-03,7,0.42857142857142855,7.3065,0.4740000000000002,0.01765494323936922,6.6579,-6.1838999999999995,0.0
2023-05,1,0.0,-1.7122,-0.9075,,0.0,-0.9075,0.0
2023-06,1,1.0,2.8924,2.8635,,0.0,2.8635,0.0
2023-07,3,0.3333333333333333,-0.4599000000000002,-0.8300000000000001,-0.23347972304984946,0.0,-0.8300000000000001,0.0
2023-08,1,0.0,-3.594,-1.7251,,-1.7251,0.0,0.0
2023-09,4,0.0,-11.1963,-6.5091,-2.4071631407513627,-5.534800000000001,-0.9743,0.0
2023-10,7,0.2857142857142857,6.0669,0.08390000000000009,0.00811988232386345,3.132,-3.0481,0.0
2023-11,6,0.16666666666666666,-6.383600000000001,-5.304600000000001,-0.3990177398746477,-2.4237,-2.8809000000000005,0.0
2023-12,9,0.3333333333333333,-4.980500000000001,-5.3867,-0.19870451576845954,-4.762300000000001,-0.6243999999999994,0.0
2024-01,5,0.6,15.121699999999999,12.399700000000001,0.3786854808700258,12.6999,-0.3002,0.0
2024-02,7,0.14285714285714285,-6.658199999999999,-5.7504,-1.1784103082075752,-1.3205,-4.4299,0.0
2024-03,6,0.16666666666666666,-7.6717999999999975,-1.9943000000000008,-0.17669467487834756,0.0,-1.9943000000000008,0.0
2024-04,7,0.7142857142857143,30.078800000000005,25.237099999999998,0.5468787545717824,24.9741,0.2630000000000001,0.0
2024-05,2,0.5,3.7089,1.1051000000000002,0.30882650432330305,1.8177,-0.7126,0.0
2024-06,5,0.4,4.805200000000002,1.7068999999999992,0.1291141336590759,1.7068999999999992,0.0,0.0
2024-07,6,0.6666666666666666,9.290700000000001,6.974399999999999,0.6071543084255551,3.3689,3.6055,0.0
2024-08,5,0.6,10.5776,7.1441,0.4190005065843344,9.375,-2.2309,0.0
2024-09,3,0.0,-8.9478,-3.7292,-0.9900324542710608,0.0,-1.2184,-2.5108
2024-10,10,0.3,-7.291600000000001,-2.1852,-0.09679076002529702,0.7137999999999995,-0.5404000000000001,-2.3586
2024-11,11,0.2727272727272727,-10.093499999999999,4.714200000000001,0.17895574055719307,4.058300000000001,0.6559000000000001,0.0
2024-12,4,0.75,9.761500000000002,5.5851999999999995,0.15715554529992845,1.4221,0.0,4.1631
2025-01,3,0.6666666666666666,16.837799999999998,13.2726,0.6696936880655341,0.0,0.0,13.2726
2025-02,4,0.75,11.467300000000002,2.2375000000000003,0.17717281180088404,3.4963,2.3822,-3.641
2025-03,1,1.0,4.8809,2.6357,,0.0,2.6357,0.0
