trigger_wpnl,trades_killed,kept_wpnl,kept_monthly_sharpe,delta_sharpe
3.0,165,-3.2477,-46.82288309380176,-47.88868582771137
5.0,164,-6.7869,-4.9340937094634345,-5.999896443373048
8.0,163,-8.7088,-5.329799787045925,-6.3956025209555385
10.0,162,-11.5295,-7.172970455177322,-8.238773189086936
12.0,162,-11.5295,-7.172970455177322,-8.238773189086936
15.0,99,17.0907,0.5166363149164478,-0.5491664189931661
