candidate,mean_loss,mean_profit,auc,abs_auc_minus_half
btc_abs_ret_60d,0.2302646052924978,0.18021034635877847,0.6412698412698413,0.14126984126984132
sym_atr_pct,0.385427135678392,0.48598521258430966,0.3619047619047619,0.1380952380952381
sym_ret_30d,0.00685166869094014,0.047936935571857436,0.3873015873015873,0.11269841269841269
btc_vol_30d,0.014458724486146091,0.01479515678843759,0.4222222222222222,0.07777777777777778
btc_vol_60d,0.01492297633974509,0.015452175274316087,0.42857142857142855,0.07142857142857145
maha_ood_24m,4.775455750510779,4.478257552677475,0.5587301587301587,0.058730158730158744
btc_ret_90d,0.04583982945558559,0.1271866074141228,0.44761904761904764,0.05238095238095236
btc_ret_30d,0.018228699728681783,0.031175391541434935,0.4507936507936508,0.0492063492063492
maha_ood_18m,4.888052989111935,4.675019228543636,0.5365079365079365,0.03650793650793649
maha_ood_12m,5.1385280318190345,5.343454593330487,0.5333333333333333,0.033333333333333326
btc_ret_60d,0.03418137302597649,0.08938129494728513,0.46984126984126984,0.030158730158730163
