symbol,direction,n,wpnl_sum,win_rate
BCHUSDT,-1,47,44.8291,0.425531914893617
BCHUSDT,1,36,31.7768,0.5833333333333334
LDOUSDT,-1,6,2.327300000000001,0.3333333333333333
LDOUSDT,1,3,6.597999999999999,0.3333333333333333
TRXUSDT,-1,43,-5.338300000000001,0.3023255813953488
TRXUSDT,1,36,-2.0120999999999998,0.3888888888888889
