symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
LTCUSDT,1,93.390000,89.274121,1.0000,1742918399999,1743148799999,stop_loss,-4.4072,0.1000,-4.5072,-4.5072,89.274121,101.621758,1743523199999,0.782208
LTCUSDT,1,86.070000,81.577093,1.0000,1743235199999,1743436799999,stop_loss,-5.2201,0.1000,-5.3201,-5.3201,81.577093,95.055814,1743839999999,0.817243
LTCUSDT,1,85.610000,81.374844,1.0000,1743523199999,1743580799999,stop_loss,-4.9470,0.1000,-5.0470,-5.0470,81.374844,94.080312,1744127999999,0.852684
LTCUSDT,-1,84.860000,88.997151,1.0000,1745567999999,1746143999999,stop_loss,-4.8753,0.1000,-4.9753,-4.9753,88.997151,76.585697,1746172799999,0.843642
LTCUSDT,-1,93.120000,99.222860,1.0000,1746719999999,1746806399999,stop_loss,-6.5538,0.1000,-6.6538,-6.6538,99.222860,80.914279,1747324799999,0.871726
LTCUSDT,1,99.930000,96.610000,1.0000,1747238399999,1747843200000,timeout,-3.3223,0.1000,-3.4223,-3.4223,92.084337,115.621326,1747843199999,0.836373
LTCUSDT,1,89.410000,85.043194,1.0000,1748937599999,1749167999999,stop_loss,-4.8840,0.1000,-4.9840,-4.9840,85.043194,98.143613,1749542399999,0.751770
LTCUSDT,1,86.950000,93.812726,1.0000,1749455999999,1749686399999,take_profit,7.8927,0.1000,7.7927,7.7927,83.518637,93.812726,1750060799999,0.763040
LTCUSDT,1,86.080000,81.578085,0.3300,1749772799999,1749801599999,stop_loss,-5.2299,0.1000,-5.3299,-1.7589,81.578085,95.083830,1750377599999,0.876324
LTCUSDT,-1,82.760000,86.141501,0.3300,1750521599999,1751126399999,stop_loss,-4.0859,0.1000,-4.1859,-1.3814,86.141501,75.996998,1751126399999,0.846844
LTCUSDT,1,86.420000,83.303096,0.3300,1751270399999,1751414399999,stop_loss,-3.6067,0.1000,-3.7067,-1.2232,83.303096,92.653808,1751875199999,0.748949
LTCUSDT,1,119.450000,129.580000,1.0000,1754553599999,1755158400000,timeout,8.4805,0.1000,8.3805,8.3805,111.939725,134.470550,1755158399999,0.800400
LTCUSDT,1,118.720000,121.760000,1.0000,1755331199999,1755936000000,timeout,2.5606,0.1000,2.4606,2.4606,110.681017,134.797966,1755935999999,0.881017
LTCUSDT,1,111.660000,118.730000,1.0000,1757145599999,1757750400000,timeout,6.3317,0.1000,6.2317,6.2317,107.667300,119.645400,1757750399999,0.778230
LTCUSDT,-1,114.740000,119.118590,1.0000,1758009599999,1758268799999,stop_loss,-3.8161,0.1000,-3.9161,-3.9161,119.118590,105.982821,1758614399999,0.797671
LTCUSDT,1,115.100000,110.649250,1.0000,1758355199999,1758527999999,stop_loss,-3.8669,0.1000,-3.9669,-3.9669,110.649250,124.001501,1758959999999,0.800228
LTCUSDT,1,104.060000,111.550432,0.3300,1759046399999,1759334399999,take_profit,7.1982,0.1000,7.0982,2.3424,100.314784,111.550432,1759651199999,0.801816
LTCUSDT,-1,116.310000,121.362155,1.0000,1759939199999,1760054399999,stop_loss,-4.3437,0.1000,-4.4437,-4.4437,121.362155,106.205690,1760543999999,0.775689
LTCUSDT,1,90.900000,96.490000,0.3300,1760774399999,1761379200000,timeout,6.1496,0.1000,6.0496,1.9964,81.615786,109.468428,1761379199999,0.732091
LTCUSDT,-1,97.400000,101.629559,0.3300,1761465599999,1761580799999,stop_loss,-4.3425,0.1000,-4.4425,-1.4660,101.629559,88.940882,1762070399999,0.793803
LTCUSDT,-1,98.620000,86.468088,0.3300,1761724799999,1762185599999,take_profit,12.3220,0.1000,12.2220,4.0332,104.695956,86.468088,1762329599999,0.745366
LTCUSDT,-1,104.200000,91.200000,0.3300,1762819199999,1763424000000,timeout,12.4760,0.1000,12.3760,4.0841,114.980346,82.639308,1763423999999,0.805940
LTCUSDT,1,93.100000,85.825062,0.3300,1763625599999,1763711999999,stop_loss,-7.8141,0.1000,-7.9141,-2.6117,85.825062,107.649876,1764230399999,0.752457
LTCUSDT,1,83.710000,83.880000,0.3300,1763913599999,1764518400000,timeout,0.2031,0.1000,0.1031,0.0340,77.321310,96.487380,1764518399999,0.920020
LTCUSDT,1,82.450000,85.840000,0.3300,1764691199999,1765296000000,timeout,4.1116,0.1000,4.0116,1.3238,77.698335,91.953330,1765295999999,0.806974
LTCUSDT,1,84.170000,80.351068,0.3300,1765382399999,1765439999999,stop_loss,-4.5372,0.1000,-4.6372,-1.5303,80.351068,91.807864,1765987199999,0.915969
LTCUSDT,1,81.680000,77.995642,0.3300,1765641599999,1765756799999,stop_loss,-4.5107,0.1000,-4.6107,-1.5215,77.995642,89.048717,1766246399999,0.680442
LTCUSDT,-1,77.130000,80.917641,0.3300,1765871999999,1765987199999,stop_loss,-4.9107,0.1000,-5.0107,-1.6535,80.917641,69.554718,1766476799999,0.690568
LTCUSDT,-1,76.840000,80.042128,0.3300,1766793599999,1766879999999,stop_loss,-4.1673,0.1000,-4.2673,-1.4082,80.042128,70.435743,1767398399999,0.741323
LTCUSDT,-1,76.820000,79.498597,0.3300,1767225599999,1767311999999,stop_loss,-3.4868,0.1000,-3.5868,-1.1837,79.498597,71.462806,1767830399999,0.769627
LTCUSDT,-1,82.040000,84.711778,0.3300,1767484799999,1767715199999,stop_loss,-3.2567,0.1000,-3.3567,-1.1077,84.711778,76.696444,1768089599999,0.681540
LTCUSDT,1,72.230000,68.093043,0.3300,1768780799999,1768809599999,stop_loss,-5.7275,0.1000,-5.8275,-1.9231,68.093043,80.503914,1769385599999,0.681370
LTCUSDT,1,68.900000,69.590000,0.3300,1768982399999,1769587200000,timeout,1.0015,0.1000,0.9015,0.2975,64.523705,77.652589,1769587199999,0.760945
LTCUSDT,1,68.130000,65.172349,0.3300,1769673599999,1769702399999,stop_loss,-4.3412,0.1000,-4.4412,-1.4656,65.172349,74.045302,1770278399999,0.710587
LTCUSDT,1,64.780000,61.214490,0.3300,1769788799999,1769875199999,stop_loss,-5.5040,0.1000,-5.6040,-1.8493,61.214490,71.911019,1770393599999,0.797127
LTCUSDT,1,61.010000,56.426581,0.3300,1770047999999,1770307199999,stop_loss,-7.5126,0.1000,-7.6126,-2.5121,56.426581,70.176837,1770652799999,0.793516
LTCUSDT,1,56.460000,53.741027,0.3300,1771142399999,1771228799999,stop_loss,-4.8158,0.1000,-4.9158,-1.6222,53.741027,61.897946,1771747199999,0.739737
LTCUSDT,1,55.500000,52.722845,0.3300,1771315199999,1771516799999,stop_loss,-5.0039,0.1000,-5.1039,-1.6843,52.722845,61.054311,1771919999999,0.720045
LTCUSDT,1,54.680000,52.415666,0.3300,1771747199999,1771833599999,stop_loss,-4.1411,0.1000,-4.2411,-1.3996,52.415666,59.208667,1772351999999,0.743183
LTCUSDT,-1,53.730000,56.139495,0.3300,1772899199999,1773417599999,stop_loss,-4.4844,0.1000,-4.5844,-1.5129,56.139495,48.911010,1773503999999,0.700551
LTCUSDT,1,54.430000,58.288641,0.3300,1773503999999,1773676799999,take_profit,7.0892,0.1000,6.9892,2.3064,52.500680,58.288641,1774108799999,0.788363
LTCUSDT,-1,55.490000,56.000000,0.3300,1773849599999,1774454400000,timeout,-0.9191,0.1000,-1.0191,-0.3363,57.720485,51.029030,1774454399999,0.741000
LTCUSDT,1,54.680000,52.736100,0.3300,1774540799999,1774828799999,stop_loss,-3.5550,0.1000,-3.6550,-1.2062,52.736100,58.567801,1775145599999,0.746805
LTCUSDT,1,53.820000,51.993211,0.3300,1774943999999,1775116799999,stop_loss,-3.3943,0.1000,-3.4943,-1.1531,51.993211,57.473578,1775548799999,0.667205
LTCUSDT,1,52.820000,54.310000,0.3300,1775203199999,1775808000000,timeout,2.8209,0.1000,2.7209,0.8979,50.966345,56.527310,1775807999999,0.832765
LTCUSDT,1,54.540000,53.022745,0.3300,1775894399999,1776095999999,stop_loss,-2.7819,0.1000,-2.8819,-0.9510,53.022745,57.574509,1776499199999,0.851127
LTCUSDT,1,54.690000,55.340000,0.3300,1776182399999,1776787200000,timeout,1.1885,0.1000,1.0885,0.3592,53.089905,57.890191,1776787199999,0.848610
LTCUSDT,1,56.440000,54.799747,0.3300,1776873599999,1777391999999,stop_loss,-2.9062,0.1000,-3.0062,-0.9920,54.799747,59.720507,1777478399999,0.738833
LTCUSDT,-1,55.560000,57.176386,0.3300,1777564799999,1778054399999,stop_loss,-2.9093,0.1000,-3.0093,-0.9931,57.176386,52.327229,1778169599999,0.717030
LTCUSDT,1,56.500000,59.643651,0.3300,1778227199999,1778457599999,take_profit,5.5640,0.1000,5.4640,1.8031,54.928175,59.643651,1778831999999,0.617099
LTCUSDT,-1,58.470000,54.426432,0.3300,1778543999999,1779062399999,take_profit,6.9156,0.1000,6.8156,2.2492,60.491784,54.426432,1779148799999,0.686274
LTCUSDT,1,54.350000,52.201896,0.3300,1779148799999,1779494399999,stop_loss,-3.9524,0.1000,-4.0524,-1.3373,52.201896,58.646208,1779753599999,0.682571
LTCUSDT,1,53.450000,51.376245,0.3300,1779580799999,1779955199999,stop_loss,-3.8798,0.1000,-3.9798,-1.3133,51.376245,57.597511,1780185599999,0.636484
LTCUSDT,1,51.680000,50.360000,0.3300,1780041599999,1780329599999,end_of_data,-2.5542,0.1000,-2.6542,-0.8759,49.996629,55.046743,1780646399999,0.715675
