date,pnl_pct,trade_count
2025-03-28,-4.5072,1
2025-03-31,-5.3201,1
2025-04-02,-5.0470,1
2025-05-01,-4.9753,1
2025-05-09,-6.6538,1
2025-05-21,-3.4223,1
2025-06-05,-4.9840,1
2025-06-11,7.7927,1
2025-06-13,-1.7589,1
2025-06-28,-1.3814,1
2025-07-01,-1.2232,1
2025-08-14,8.3805,1
2025-08-23,2.4606,1
2025-09-13,6.2317,1
2025-09-19,-3.9161,1
2025-09-22,-3.9669,1
2025-10-01,2.3424,1
2025-10-09,-4.4437,1
2025-10-25,1.9964,1
2025-10-27,-1.4660,1
2025-11-03,4.0332,1
2025-11-18,4.0841,1
2025-11-21,-2.6117,1
2025-11-30,0.0340,1
2025-12-09,1.3238,1
2025-12-11,-1.5303,1
2025-12-14,-1.5215,1
2025-12-17,-1.6535,1
2025-12-27,-1.4082,1
2026-01-01,-1.1837,1
2026-01-06,-1.1077,1
2026-01-19,-1.9231,1
2026-01-28,0.2975,1
2026-01-29,-1.4656,1
2026-01-31,-1.8493,1
2026-02-05,-2.5121,1
2026-02-16,-1.6222,1
2026-02-19,-1.6843,1
2026-02-23,-1.3996,1
2026-03-13,-1.5129,1
2026-03-16,2.3064,1
2026-03-25,-0.3363,1
2026-03-29,-1.2062,1
2026-04-02,-1.1531,1
2026-04-10,0.8979,1
2026-04-13,-0.9510,1
2026-04-21,0.3592,1
2026-04-28,-0.9920,1
2026-05-06,-0.9931,1
2026-05-10,1.8031,1
2026-05-17,2.2492,1
2026-05-22,-1.3373,1
2026-05-28,-1.3133,1
2026-06-01,-0.8759,1
