check,symbol,feature,metric,value,status,note
ADF,DOTUSDT,dot_vs_btc_ret_ratio_30,p_value,0.0,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,cal_dow_norm,ic_abs,0.010277378605110554,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,cal_hour_norm,ic_abs,0.012004536807236241,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,funding_rate_zscore_30,ic_abs,0.022940854727605257,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,funding_rate_zscore_90,ic_abs,0.0008540881916733604,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_natr_x_adx,ic_abs,0.07945918802177125,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_ret1_x_natr,ic_abs,0.0029398438872967423,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_ret1_x_ret3,ic_abs,0.03389719793184975,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_rsi_x_adx,ic_abs,0.017623686165502916,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_rsi_x_natr,ic_abs,0.007104717083155287,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,interact_stoch_x_adx,ic_abs,0.017190304677807917,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,long_short_zscore_30,ic_abs,0.0031302850114647237,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_macd_hist_12_26_9,ic_abs,0.020348913345616688,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_macd_line_12_26_9,ic_abs,0.01103890664974817,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_roc_10,ic_abs,0.03878333518006074,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_rsi_14,ic_abs,0.0010885731550553791,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_stoch_d_14,ic_abs,0.002616956136469843,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_stoch_k_14,ic_abs,0.008001855249924668,PASS,informational — no BLOCK
IC_pearson,DOTUSDT,mom_willr_14,ic_abs,0.014857892536294867,PASS,informational — no BLOCK
