symbol,horizon,n_bars,share
BCHUSDT,5,438,0.0765
BCHUSDT,8,512,0.0894
BCHUSDT,13,806,0.1407
BCHUSDT,21,1322,0.2308
BCHUSDT,34,2649,0.4625
LDOUSDT,5,189,0.069
LDOUSDT,8,279,0.1018
LDOUSDT,13,453,0.1653
LDOUSDT,21,644,0.235
LDOUSDT,34,1176,0.429
TRXUSDT,5,462,0.0815
TRXUSDT,8,549,0.0968
TRXUSDT,13,861,0.1519
TRXUSDT,21,1282,0.2261
TRXUSDT,34,2515,0.4436
